股票代號,股票名稱,,近240日成交量合計,近240日籌碼集中度
00782B,國泰A級公用債,,54404,-0.9
00783,富邦中証500,,112053,0.1
00784B,富邦中國投等債,,50982,0
00785B,富邦金融投等債,,53414,0
00786B,元大10年IG銀行債,,59780,-1
00787B,元大10年IG醫療債,,63549,-0.2
00788B,元大10年IG電能債,,60859,-0.5
00789B,FH公司債A3,,48388,0
00790B,FH次順位IG金融債,,51924,0
00791B,FH美元信用債1-5Y,,49502,0
00792B,群益A級公司債,,56498,0
00793B,群益AAA-A醫療債,,57107,-1.3
00794B,群益7+中國政金債,,53624,0
00795B,中信美國公債20年,,319406,-1.8
00796B,- -,,40712,- -
00799B,國泰A級醫療債,,51158,-0.1
008201,- -,,4307,- -
00830,國泰費城半導體,,2298192,-12.1
00831B,新光美債1-3,,3986,0
00834B,第一金金融債10+,,62450,0
00836B,永豐10年A公司債,,52542,-0.1
00838B,- -,,24803,- -
00840B,凱基IG精選15+,,48350,0
00841B,凱基AAA-AA公司債,,48816,0
00842B,台新美元銀行債,,53964,0
00843B,- -,,16724,- -
00844B,新光15年IG金融債,,1100,0
00845B,富邦新興投等債,,46841,0
00846B,富邦歐洲銀行債,,51608,0
00847B,中信美國市政債,,104030,-0.2
00848B,中信新興亞洲債,,58840,0
00849B,中信EM主權債0-5,,53066,0
00850,元大臺灣ESG永續,,374312,-4.3
00851,台新全球AI,,14923,-1.8
00852L,國泰美國道瓊正2,,392676,-0.4
00853B,統一美債10年Aa-A,,67053,-0.6
00856B,永豐1-3年美公債,,50863,0
00857B,永豐20年美公債,,54591,-0.8
00858,永豐美國500大,,131208,-1.2
00859B,群益0-1年美債,,63644,0
00860B,群益1-5年IG債,,55391,0
00861,元大全球未來通訊,,195183,11.4
00862B,中信投資級公司債,,205026,-1.8
00863B,中信全球電信債,,53224,0
00864B,中信美國公債0-1,,93835,0
00865B,國泰US短期公債,,52971,1.5
00867B,新光A-BBB電信債,,1294,0
00870B,元大15年EM主權債,,53434,-0.3
00875,國泰網路資安,,120506,3.2
00876,元大全球5G,,558743,0.6
00877,FH中國5G,,613839,-4.7
00878,國泰永續高股息,,14081505,-38.1
00881,國泰台灣5G+,,5382099,-22.7
00882,中信中國高股息,,2741520,-18.1
00883B,中信ESG投資級債,,102030,-0.1
00884B,中信低碳新興債,,103888,0
00885,富邦越南,,3943866,-20.3
00886,永豐美國科技,,90910,-0.6
00887,永豐中國科技50大,,113855,-2.8
00888,永豐台灣ESG,,712496,-10.5
00889B,- -,,20638,- -
00890B,凱基ESG BBB 債 15+,,48448,0
00891,中信關鍵半導體,,4397592,-18.6
00892,富邦台灣半導體,,2513474,-13.4
00893,國泰智能電動車,,6902198,-12.8
00894,中信小資高價30,,845993,-13.7
00895,富邦未來車,,1736099,-8.6
00896,中信綠能及電動車,,782717,-2.8
00897,富邦基因免疫生技,,920126,4.3
00898,國泰基因免疫革命,,392452,15.3
00899,FT潔淨能源,,311473,4.7
00900,富邦特選高股息30,,4399075,-25.1
00901,永豐智能車供應鏈,,380564,-6.1
00902,中信電池及儲能,,2483335,-8.6
00903,富邦元宇宙,,1707796,-11.3
00904,新光臺灣半導體30,,585885,-6
00905,FT臺灣SMART,,411924,-10.4
00906,大華元宇宙科技50,,72209,4.6
00907,永豐優息存股,,398153,-3.9
00908,富邦入息REITs+,,333738,1.1
00909,國泰數位支付服務,,286209,16.1
00910,第一金太空衛星,,49618,-1.2
00911,兆豐洲際半導體,,67563,1.6
00912,中信臺灣智慧50,,270236,-3.1
