,stock_number,sharpe_ratio,total_return,test_mse_loss,股票名稱,2024產業名稱
3,8040,6.24409888849604,4.608177342123967,0.0004103970632058,九暘,電子–半導體
4,3438,6.227732119986216,5.859612220469077,0.0006273953804338,類比科,電子–半導體
7,3041,5.979822200961369,4.085523231312568,0.0012248675066075,揚智,電子–半導體
12,5272,5.78386008635712,2.9137644844803194,0.0009736111724123,笙科,電子–半導體
40,8277,5.057322674134715,2.7023795683794454,0.0007427053533319,商丞,電子–半導體
