,predicted_price,true_price
0,0.18140675,0.188
1,0.18273069,0.192
2,0.1845277,0.188
3,0.18592432,0.188
4,0.18659678,0.196
5,0.18848267,0.17
6,0.177928,0.176
7,0.17219844,0.188
8,0.17185411,0.184
9,0.17416874,0.182
10,0.1757137,0.18
11,0.17966604,0.182
12,0.1801188,0.174
13,0.17758098,0.17
14,0.17378262,0.176
15,0.17132595,0.174
16,0.17112216,0.176
17,0.16990522,0.174
18,0.1680874,0.182
19,0.16745555,0.18
20,0.17060523,0.184
21,0.17433329,0.188
22,0.17916906,0.19
23,0.18442386,0.19
24,0.18807179,0.192
25,0.19025598,0.188
26,0.19161516,0.188
27,0.19231945,0.19
28,0.19258915,0.192
29,0.19268304,0.178
30,0.1909952,0.172
31,0.18854447,0.176
32,0.18636265,0.174
33,0.1837753,0.168
34,0.18004948,0.17
35,0.17816776,0.17
36,0.17680201,0.17
37,0.17619395,0.164
38,0.17378318,0.162
39,0.17131336,0.158
40,0.1685737,0.156
41,0.16717972,0.156
42,0.16545497,0.148
43,0.16391137,0.152
44,0.16246259,0.152
45,0.16115157,0.156
46,0.16017628,0.162
47,0.16090769,0.16
48,0.161048,0.156
49,0.1612326,0.16
50,0.16271085,0.17
51,0.16520774,0.172
52,0.16766661,0.174
53,0.17104635,0.174
54,0.1738663,0.17
55,0.17496447,0.18
56,0.17619094,0.176
57,0.17805529,0.178
58,0.17930579,0.186
59,0.18167746,0.19
60,0.18518278,0.192
61,0.18721671,0.184
62,0.18735763,0.172
63,0.18467408,0.174
64,0.1816349,0.172
65,0.17915426,0.188
66,0.17939936,0.186
67,0.18128537,0.174
68,0.17926577,0.178
69,0.17946127,0.19
70,0.18174928,0.186
71,0.18337542,0.184
72,0.18439683,0.192
73,0.18740544,0.188
74,0.188896,0.194
75,0.19148558,0.198
76,0.19424836,0.208
77,0.19747469,0.192
78,0.19846179,0.2
79,0.19870794,0.178
80,0.19134194,0.182
81,0.1861166,0.194
82,0.18438879,0.192
83,0.1835758,0.19
84,0.1834683,0.19
85,0.18601327,0.192
86,0.18908717,0.15
87,0.18211487,0.134
88,0.17179242,0.128
89,0.16065459,0.136
90,0.15308693,0.138
91,0.14754468,0.124
92,0.14205812,0.122
93,0.13745207,0.118
94,0.13393062,0.124
95,0.13133386,0.128
96,0.12978438,0.134
97,0.13196705,0.136
98,0.13528463,0.128
99,0.13767384,0.156
100,0.14069028,0.142
101,0.14011274,0.142
102,0.13995948,0.13
103,0.1372761,0.136
104,0.13600385,0.136
105,0.13724692,0.138
106,0.14045522,0.144
107,0.14201635,0.132
108,0.14261174,0.126
109,0.14136215,0.132
110,0.13941321,0.128
111,0.13658169,0.128
112,0.13458684,0.138
113,0.13580881,0.136
114,0.13691898,0.14
115,0.13726832,0.138
116,0.13842186,0.122
117,0.13532764,0.122
118,0.13212076,0.118
119,0.1303015,0.112
120,0.12700452,0.102
121,0.12117599,0.098
122,0.11643502,0.108
123,0.11402458,0.102
124,0.10866463,0.108
125,0.10757494,0.104
126,0.10881838,0.102
127,0.10852906,0.116
128,0.109725684,0.116
129,0.1134558,0.14
130,0.118019626,0.154
131,0.119102046,0.152
132,0.12763974,0.154
133,0.13559625,0.152
134,0.14212759,0.162
135,0.14714947,0.154
136,0.14984539,0.15
137,0.14927778,0.15
138,0.14920476,0.166
139,0.15176597,0.154
140,0.15168335,0.162
141,0.15322506,0.16
142,0.15047666,0.166
143,0.15191817,0.166
144,0.1537687,0.158
145,0.15522176,0.148
146,0.1543303,0.154
147,0.15459213,0.162
148,0.15598813,0.166
149,0.15763672,0.158
150,0.15928364,0.162
151,0.16106486,0.166
152,0.16383056,0.166
153,0.16543159,0.162
154,0.16552114,0.168
155,0.16677152,0.162
156,0.16781147,0.16
157,0.16618551,0.17
158,0.16520312,0.174
159,0.16649874,0.156
160,0.16436628,0.166
161,0.1639538,0.17
162,0.163785,0.172
163,0.16600621,0.162
164,0.16536185,0.158
165,0.16570729,0.158
166,0.16524105,0.16
167,0.166141,0.158
168,0.16466841,0.162
169,0.16479492,0.166
170,0.16568182,0.158
171,0.16556975,0.156
172,0.16418292,0.166
173,0.16513366,0.166
174,0.16677809,0.168
175,0.16842318,0.162
176,0.16913298,0.16
177,0.16948964,0.166
178,0.16939422,0.182
179,0.17066365,0.182
180,0.17272769,0.172
181,0.17395236,0.178
182,0.17478459,0.19
183,0.17817107,0.198
184,0.18255118,0.208
185,0.18724489,0.216
186,0.19276367,0.216
187,0.19771734,0.226
188,0.20336336,0.222
189,0.20780167,0.216
190,0.20815933,0.21
191,0.20730415,0.218
192,0.20595908,0.21
193,0.19743726,0.214
194,0.1962482,0.212
195,0.19856292,0.206
196,0.19913362,0.202
197,0.20007327,0.166
198,0.19533616,0.17
199,0.1890986,0.172
200,0.18417396,0.172
201,0.18073887,0.18
202,0.17892006,0.18
203,0.18049805,0.172
204,0.1768824,0.19
205,0.17488936,0.192
206,0.1734984,0.196
207,0.17341536,0.188
208,0.1725744,0.196
209,0.17714433,0.204
210,0.18492778,0.21
211,0.19380644,0.208
212,0.19997019,0.214
