,predicted_price,true_price
0,0.26564127,0.2595638
1,0.2656613,0.2595638
2,0.26406676,0.26814443
3,0.26614344,0.26385412
4,0.2670024,0.25706112
5,0.2644822,0.24383268
6,0.26011324,0.25884876
7,0.25986892,0.25706112
8,0.25832993,0.25598857
9,0.25737578,0.2495531
10,0.25471735,0.24776547
11,0.2543453,0.22738649
12,0.24774997,0.2234537
13,0.24192606,0.21344298
14,0.23577501,0.21773328
15,0.23237889,0.2084376
16,0.22714801,0.21094029
17,0.22503869,0.20808008
18,0.22234128,0.2123704
19,0.22100271,0.19842689
20,0.2165247,0.21165535
21,0.21615271,0.21308544
22,0.21683784,0.21809082
23,0.21880512,0.21666071
24,0.22020908,0.2084376
25,0.2204464,0.21058276
26,0.22006212,0.21415803
27,0.22067104,0.21809082
28,0.2213562,0.22774401
29,0.22485976,0.21701823
30,0.22560768,0.22416875
31,0.22688855,0.22381122
32,0.22686432,0.21773328
33,0.22573583,0.21308544
34,0.22212397,0.21344298
35,0.22084753,0.21415803
36,0.2199878,0.2316768
37,0.22449695,0.24168752
38,0.23033647,0.2384698
39,0.2335952,0.22452627
40,0.23266111,0.21952091
41,0.23070134,0.20378977
42,0.22359656,0.1973543
43,0.21713547,0.20486236
44,0.21457623,0.20736504
45,0.21389304,0.21987844
46,0.21706454,0.2205935
47,0.21981506,0.20951019
48,0.21880244,0.22202359
49,0.21987413,0.22381122
50,0.22161491,0.23525205
51,0.22530095,0.24526279
52,0.231764,0.22130854
53,0.23176204,0.21987844
54,0.23016824,0.21058276
55,0.22671689,0.21344298
56,0.22213887,0.21844834
57,0.22006302,0.20915267
58,0.21913283,0.21022524
59,0.21722437,0.20378977
60,0.21413161,0.2123704
61,0.21353127,0.2027172
62,0.21020697,0.18984626
63,0.20537384,0.17304255
64,0.19816105,0.17196997
65,0.19287317,0.16589202
66,0.18704747,0.15409367
67,0.1810251,0.14658563
68,0.17546116,0.15766893
69,0.17315625,0.1655345
70,0.17267899,0.16446193
71,0.1720901,0.16946729
72,0.17372088,0.16160172
73,0.17339502,0.16517697
74,0.17348243,0.16839471
75,0.17475559,0.17483017
76,0.17793034,0.17196997
77,0.1793664,0.1848409
78,0.18474256,0.19377905
79,0.18889959,0.2055774
80,0.19473366,0.19270647
81,0.19596569,0.18913122
82,0.19622834,0.18662854
83,0.1946467,0.16589202
84,0.18877225,0.16839471
85,0.18306564,0.17161244
86,0.18115483,0.16660708
87,0.17892216,0.17697532
88,0.17869829,0.18948874
89,0.18242173,0.18877369
90,0.18430112,0.18126564
91,0.18432824,0.17340007
92,0.18385337,0.17411512
93,0.1826372,0.17554523
94,0.18284915,0.18305327
95,0.18498398,0.18448338
96,0.18736325,0.20057204
97,0.19335578,0.20057204
98,0.19716053,0.18662854
99,0.19643061,0.18662854
100,0.19501077,0.1834108
101,0.19325997,0.19091885
102,0.19244598,0.18948874
103,0.19263105,0.18448338
104,0.19265537,0.21773328
105,0.20072387,0.2152306
106,0.20603998,0.22488381
107,0.21045898,0.24740794
108,0.21811657,0.25491598
109,0.22804596,0.25169826
110,0.23224579,0.23954237
111,0.23549347,0.26278156
112,0.24109523,0.24669288
113,0.24156938,0.24991062
114,0.24190582,0.24776547
115,0.241915,0.24025741
116,0.24093346,0.22953165
117,0.23664425,0.20307472
118,0.22965886,0.20021452
119,0.22180341,0.2055774
120,0.21651928,0.19949946
121,0.21198969,0.19914193
122,0.20864855,0.18877369
123,0.20570622,0.17912048
124,0.2008638,0.18412586
125,0.19736533,0.19020379
126,0.1956868,0.1848409
