,predicted_price,true_price
0,0.2880252,0.2595638
1,0.2890103,0.2595638
2,0.28951046,0.26814443
3,0.29032484,0.26385412
4,0.28945327,0.25706112
5,0.28844756,0.24383268
6,0.28824928,0.25884876
7,0.2875093,0.25706112
8,0.2858857,0.25598857
9,0.28536928,0.2495531
10,0.28555456,0.24776547
11,0.2843542,0.22738649
12,0.2836294,0.2234537
13,0.2815494,0.21344298
14,0.27849376,0.21773328
15,0.27507383,0.2084376
16,0.27291626,0.21094029
17,0.2699089,0.20808008
18,0.26767302,0.2123704
19,0.266703,0.19842689
20,0.26570505,0.21165535
21,0.26400012,0.21308544
22,0.26327398,0.21809082
23,0.26225054,0.21666071
24,0.26115096,0.2084376
25,0.26137057,0.21058276
26,0.26045817,0.21415803
27,0.26084694,0.21809082
28,0.26167682,0.22774401
29,0.26381725,0.21701823
30,0.26436394,0.22416875
31,0.26503754,0.22381122
32,0.26496544,0.21773328
33,0.2638727,0.21308544
34,0.26281643,0.21344298
35,0.26189238,0.21415803
36,0.26165628,0.2316768
37,0.2631052,0.24168752
38,0.265485,0.2384698
39,0.2660197,0.22452627
40,0.2662568,0.21952091
41,0.26575908,0.20378977
42,0.2648192,0.1973543
43,0.2628287,0.20486236
44,0.25993985,0.20736504
45,0.2571103,0.21987844
46,0.25739247,0.2205935
47,0.25745782,0.20951019
48,0.25725055,0.22202359
49,0.25808588,0.22381122
50,0.25916308,0.23525205
51,0.26218632,0.24526279
52,0.2659939,0.22130854
53,0.26881808,0.21987844
54,0.2675999,0.21058276
55,0.2659788,0.21344298
56,0.26295918,0.21844834
57,0.26066354,0.20915267
58,0.2586981,0.21022524
59,0.2586506,0.20378977
60,0.25934395,0.2123704
61,0.260287,0.2027172
62,0.25985557,0.18984626
63,0.25968575,0.17304255
64,0.2586337,0.17196997
65,0.255944,0.16589202
66,0.2529398,0.15409367
67,0.2500091,0.14658563
68,0.24525002,0.15766893
69,0.24147777,0.1655345
70,0.23890612,0.16446193
71,0.23692617,0.16946729
72,0.23649319,0.16160172
73,0.23743118,0.16517697
74,0.23651034,0.16839471
75,0.23541297,0.17483017
76,0.23508795,0.17196997
77,0.2347925,0.1848409
78,0.2369535,0.19377905
79,0.23879541,0.2055774
80,0.24198437,0.19270647
81,0.24377966,0.18913122
82,0.2438227,0.18662854
83,0.24257678,0.16589202
84,0.24151745,0.16839471
85,0.2390343,0.17161244
86,0.23707385,0.16660708
87,0.23575865,0.17697532
88,0.23475711,0.18948874
89,0.23604114,0.18877369
90,0.23662089,0.18126564
91,0.23743546,0.17340007
92,0.23791458,0.17411512
93,0.23755172,0.17554523
94,0.23745832,0.18305327
95,0.23777008,0.18448338
96,0.23762769,0.20057204
97,0.24055511,0.20057204
98,0.24244328,0.18662854
99,0.24279946,0.18662854
100,0.2423344,0.1834108
101,0.24138123,0.19091885
102,0.24060781,0.18948874
103,0.24109478,0.18448338
104,0.24104512,0.21773328
105,0.24698359,0.2152306
106,0.24950084,0.22488381
107,0.25147617,0.24740794
108,0.25649828,0.25491598
109,0.26367795,0.25169826
110,0.26622695,0.23954237
111,0.26837477,0.26278156
112,0.27157962,0.24669288
113,0.27182326,0.24991062
114,0.27110392,0.24776547
115,0.27043536,0.24025741
116,0.27015135,0.22953165
117,0.269411,0.20307472
118,0.2684554,0.20021452
119,0.26460344,0.2055774
120,0.26067996,0.19949946
121,0.25700995,0.19914193
122,0.25414044,0.18877369
123,0.252632,0.17912048
124,0.2522078,0.18412586
125,0.2505809,0.19020379
126,0.24971396,0.1848409
127,0.24779621,0.19878441
128,0.2525854,0.21129782
129,0.25475627,0.20164461
130,0.2567824,0.19520915
131,0.2553329,0.20307472
132,0.2541702,0.22166607
133,0.25379375,0.21773328
134,0.25389338,0.21344298
135,0.25334778,0.2041473
136,0.25364846,0.193064
137,0.25296345,0.2055774
138,0.25111878,0.19878441
139,0.24993649,0.19270647
140,0.2488448,0.19592421
141,0.24740042,0.19127637
142,0.24764448,0.1944941
143,0.24721482,0.19592421
144,0.24622548,0.19413657
145,0.24508317,0.18555595
146,0.24471778,0.19485162
147,0.24412607,0.19806936
148,0.24490473,0.18948874
149,0.24538748,0.18841615
150,0.24572766,0.18305327
151,0.24518701,0.18984626
152,0.2443345,0.17411512
153,0.2436254,0.16338934
154,0.2420178,0.16589202
155,0.2392588,0.1737576
156,0.23700485,0.17125492
157,0.23588514,0.17912048
158,0.23680574,0.16624956
159,0.23652413,0.16017161
160,0.2358175,0.16124418
161,0.23427816,0.16124418
162,0.23249611,0.13693243
163,0.23205298,0.12799428
164,0.22946966,0.12513407
165,0.22570813,0.11905613
166,0.22231928,0.13192706
167,0.22012095,0.1297819
168,0.21727698,0.144798
169,0.21742257,0.14658563
170,0.21752907,0.14301036
171,0.21749924,0.15623882
172,0.21986252,0.15409367
173,0.22154522,0.15766893
174,0.22221284,0.16124418
175,0.22349073,0.15623882
176,0.22387816,0.15480873
177,0.2224323,0.15516625
178,0.22149764,0.14730068
179,0.22072652,0.14301036
180,0.22018816,0.14444047
181,0.21938811,0.14837326
182,0.22006609,0.14193779
183,0.22089183,0.13192706
184,0.22025862,0.13836253
185,0.22083555,0.14551304
186,0.22045791,0.13585985
187,0.2192086,0.12870933
188,0.21870852,0.13085449
189,0.21761659,0.11798356
190,0.21688132,0.11691098
191,0.2146777,0.10797283
192,0.21345782,0.11440829
193,0.21105377,0.105827674
194,0.20945463,0.10511262
195,0.20655897,0.097962104
196,0.20456335,0.09009653
197,0.20376621,0.08580622
198,0.20281354,0.08759385
199,0.200354,0.07794065
200,0.19991241,0.08795138
201,0.19851074,0.075795494
202,0.19603366,0.0704326
203,0.19477594,0.06864498
204,0.19335216,0.0690025
205,0.18994242,0.06864498
206,0.1862013,0.0690025
207,0.18387833,0.07150518
208,0.18225063,0.07543797
209,0.18240461,0.072220236
210,0.18186276,0.0675724
211,0.18143584,0.0690025
212,0.18104617,0.086521275
