Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation,buy_Dealer_Hedging,buy_Dealer_self,buy_Foreign_Investor,buy_Investment_Trust,sell_Dealer_Hedging,sell_Dealer_self,sell_Foreign_Investor,sell_Investment_Trust
2023-01-03,34837924,1429088126,40.45,41.5,40.25,41.4,0.7,11807,1308967,769000,23454145,392000,720271,429000,15426682,0
2023-01-04,23638607,976626584,41.25,41.6,41.05,41.05,-0.35,8701,748000,272000,9988492,78000,317999,466349,13429089,59000
2023-01-05,29377553,1217437235,41.8,41.8,41.1,41.25,0.2,10338,705000,1219000,13527824,439000,243072,429876,17190644,0
2023-01-06,55006322,2307218799,41.3,42.4,41.25,42.4,1.15,20354,2343456,1493000,36105956,816000,256000,81000,20336002,0
2023-01-09,119712112,5264075078,43.6,44.5,43.35,44.5,2.1,54576,3670836,955403,54521005,11152000,474000,440000,13082997,17000
2023-01-10,91859993,4113559587,44.5,45.0,44.2,45.0,0.5,35023,635782,696152,48643200,7402000,1608000,1262000,17683539,166130
2023-01-11,68129447,3080219891,45.3,45.5,44.85,45.15,0.15,24174,658977,376000,39852205,4559000,813000,460000,15908031,8000
2023-01-12,58223810,2627002757,45.35,45.5,44.7,45.15,0.0,21050,385083,622104,33776112,8191000,649573,352000,9164000,143000
2023-01-13,69030914,3135964011,45.7,45.9,45.15,45.4,0.25,26615,299542,392996,26232333,5100000,401696,156000,19207000,27000
2023-01-16,68041885,3061599314,45.25,45.55,44.6,44.9,-0.5,25705,330498,2349997,23781046,1901000,61172,497319,31446056,703075
2023-01-17,124003475,5661857963,44.95,46.0,44.85,45.95,1.05,45790,1043399,1550649,69043397,5181000,711500,495000,19851116,3110000
2023-01-30,264740891,12748197712,47.95,48.8,47.5,48.8,2.85,96637,3766151,3768000,153168423,19338000,416000,759000,69183073,161299
2023-01-31,138536178,6748580860,48.3,49.1,47.9,48.8,0.0,47072,487470,615000,74345053,8740000,1008000,467000,62087426,229000
2023-02-01,115133990,5676797136,49.5,49.5,48.95,49.25,0.45,45846,202341,776997,53154039,12745000,1299000,503000,26321630,87000
2023-02-02,114098694,5730356073,50.0,50.5,50.0,50.4,1.15,44107,948791,743998,55850804,13652000,396000,579000,19281971,1305274
2023-02-03,63139735,3163235859,50.2,50.4,50.0,50.1,-0.3,21605,60983,216000,33702335,2622000,995000,1358000,17117691,729000
2023-02-06,64022562,3163818104,49.7,49.8,49.05,49.05,-1.05,28093,212000,766000,33584410,222000,271099,685000,28682119,975000
2023-02-07,55344450,2709590667,48.55,49.45,48.35,49.15,0.1,20640,1744603,737000,24223225,1428000,75522,279000,21719164,1325000
2023-02-08,92301107,4647328373,49.8,50.7,49.75,50.5,1.35,36033,1541716,959000,37857986,1770000,660000,554000,11332994,324000
2023-02-09,55013417,2778495665,49.85,50.9,49.8,50.5,0.0,21136,644829,446000,21955210,349000,602000,374000,22030450,518000
2023-02-10,62497880,3169633970,50.5,51.2,50.2,50.8,0.3,21222,807974,258997,25779971,234000,978000,593000,13818112,289000
2023-02-13,58753295,2920820798,50.2,50.2,49.15,49.75,-1.05,26853,622000,760000,11083459,1467000,833917,1099000,24338100,2066000
2023-02-14,38211905,1924064878,50.2,50.7,50.0,50.4,0.65,17265,954215,416446,13424842,295000,119400,982000,6203324,469000
2023-02-15,54208787,2714131760,49.9,50.6,49.75,49.9,-0.5,22480,1422368,3203000,18076543,184000,537000,640000,18823000,1536000
2023-02-16,56382709,2830062444,50.4,50.5,49.7,50.1,0.2,18795,458147,33000,23396719,128000,534905,1837000,22750966,2557000
2023-02-17,37823237,1885469130,49.65,50.2,49.35,50.0,-0.1,16629,250479,300669,15982015,1261000,250664,571000,16882631,345880
2023-02-20,47031722,2373924328,50.0,50.8,49.8,50.5,0.5,19531,1308547,2084000,13319729,327000,37005,229000,13280200,1160000
2023-02-21,28867482,1458242210,50.4,50.7,50.2,50.6,0.1,9403,1105547,1098000,8446658,1071000,401000,663000,13007000,61000
2023-02-22,56737182,2812290278,49.5,49.8,49.4,49.55,-1.05,20144,287000,780000,21924566,102000,691318,1803998,40304423,309000
2023-02-23,69948050,3513685626,49.9,50.5,49.75,50.2,0.65,28773,604150,802000,29958658,1209000,468384,1270998,19729618,120000
2023-02-24,63974513,3217880652,50.7,50.8,49.95,49.95,-0.25,21706,1195026,905000,31384139,4032000,533099,817000,41992843,220000
2023-03-01,93839862,4759022249,49.0,51.7,48.95,51.3,1.35,32325,1708328,1412000,57544230,257000,403000,951000,26194751,129000
2023-03-02,40281967,2049318699,51.1,51.2,50.5,50.7,-0.6,19066,128000,270000,8306043,160000,1417227,569000,23421075,188860
2023-03-03,37402848,1922368482,51.3,51.7,51.2,51.3,0.6,16100,193000,585000,15682157,1946000,327000,183000,8098440,180000
2023-03-06,53518724,2775164452,52.0,52.1,51.4,51.9,0.6,22144,324000,1456000,20776292,2032000,300777,189000,13739454,116000
2023-03-07,43527496,2242610835,51.5,51.9,51.0,51.6,-0.3,18655,1288005,1280000,17941719,1947000,236990,693998,21833746,259000
2023-03-08,50186671,2600565303,51.4,52.1,51.1,52.1,0.5,21738,640066,1376000,24877512,539000,325797,242000,21479994,1651000
2023-03-09,102359028,5411372841,52.5,53.2,52.4,52.5,0.4,37028,845494,1772999,53408445,779000,624000,608000,31945186,147000
2023-03-10,46938564,2435873991,52.0,52.3,51.6,52.0,-0.5,22225,576000,291000,21853797,1051000,560816,1204364,24832209,34000
2023-03-13,52402352,2730186018,51.8,52.5,51.5,52.5,0.5,17527,889516,151000,37161586,727000,655000,571000,13352774,134839
2023-03-14,67385313,3447939468,51.5,51.8,50.7,50.7,-1.8,34678,398000,1103000,15560833,1033000,1066960,2968097,42692970,707000
2023-03-15,54285213,2813965777,51.5,52.3,51.3,51.7,1.0,20450,687637,834000,38289382,403000,187409,1110000,14687102,109000
2023-03-16,38367443,1984452932,51.7,52.0,51.2,52.0,0.3,15365,745974,561825,23847001,353000,539152,695000,12828001,213000
2023-03-17,93600027,4949827070,53.0,53.2,52.4,53.2,1.2,35664,761161,1858800,50902128,7292000,494000,788000,12876294,4420555
2023-03-20,63692610,3383301141,53.4,53.7,52.7,53.2,0.0,24859,479000,486000,26362367,209000,130000,717000,24626858,296000
2023-03-21,45442640,2405461098,53.5,53.6,52.6,52.8,-0.4,22803,337000,331000,18670931,228000,129912,206000,17262265,113000
2023-03-22,53027160,2826362395,53.2,53.5,53.0,53.5,0.7,21856,577364,1160000,30775517,169266,112000,506000,11776766,367000
2023-03-23,54255907,2874395226,53.0,53.3,52.6,53.3,-0.2,21949,592000,1060000,23716091,2062014,261120,1503000,17677407,791000
2023-03-24,43299136,2293708367,53.4,53.4,52.7,53.1,-0.2,17674,115000,327000,15324691,1738001,712721,1105000,19829095,2014530
