Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation,buy_Dealer_Hedging,buy_Dealer_self,buy_Foreign_Investor,buy_Investment_Trust,sell_Dealer_Hedging,sell_Dealer_self,sell_Foreign_Investor,sell_Investment_Trust
2023-01-03,3265000,461292000,137.5,143.5,137.5,143.0,6.5,2698,39231,6000,1757000,1000,56421,20000,821000,0
2023-01-04,1985000,285402000,142.5,146.0,142.0,143.0,0.0,1794,73000,30000,473000,59000,48000,26925,760000,0
2023-01-05,4566000,675937000,145.0,152.5,144.5,146.0,3.0,3885,112262,18100,1080470,31000,92150,11560,1575175,0
2023-01-06,7242000,1096913000,146.0,155.0,143.5,155.0,9.0,6017,320170,132657,3415605,18000,68001,12091,1090159,0
2023-01-09,13459000,2229763000,160.5,170.5,158.0,170.5,15.5,10055,306040,512833,4328000,253000,186000,74000,2781752,0
2023-01-10,19041000,3299613000,174.0,176.5,170.5,176.0,5.5,15867,133438,285500,7597138,388000,227000,292000,3058000,10000
2023-01-11,15529000,2788824000,176.5,186.5,174.0,183.0,7.0,14897,259666,138481,6144274,130000,166000,126000,3948100,0
2023-01-12,11403000,2064774000,184.0,184.0,177.0,183.5,0.5,13345,9000,39664,4530135,1000,316000,158000,3018620,1000
2023-01-13,12267000,2141158000,181.5,182.5,170.0,170.5,-13.0,30006,24000,284000,2185328,92000,20557,121000,3949367,0
2023-01-16,9899000,1738466000,170.5,179.0,169.0,179.0,8.5,8143,175569,147900,3860800,62000,16000,61001,2666350,30223
2023-01-17,6499000,1155969000,175.5,180.0,174.0,180.0,1.0,9643,63000,127662,2716672,0,68000,7000,2361462,180000
2023-01-30,12349000,2366636000,185.0,196.0,185.0,194.0,14.0,11459,403373,473990,5895449,150000,22115,56100,5090164,5000
2023-01-31,5030000,961774000,192.5,193.0,189.5,192.0,-2.0,10637,18000,49668,2598000,13000,67000,111000,2907988,6000
2023-02-01,8466000,1607242000,194.5,195.0,185.5,191.5,-0.5,10993,37265,20318,2759090,121000,48403,111739,3298692,2000
2023-02-02,5767000,1092411000,192.0,194.0,187.5,187.5,-4.0,6216,56000,87633,1909000,0,26493,52945,3273000,86737
2023-02-03,6260000,1158791000,188.0,192.0,182.0,183.0,-4.5,5849,56000,33000,1235638,0,71763,206952,2774059,327000
2023-02-06,6235000,1117522000,180.5,183.0,176.0,176.0,-7.0,5199,46000,15288,2976165,2000,58181,47176,4372107,3000
2023-02-07,7487000,1294684000,173.0,175.0,170.5,173.0,-3.0,5762,125000,103130,3101250,0,36075,37656,4834837,239000
2023-02-08,7287000,1276738000,175.0,177.5,172.0,175.5,2.5,6829,287000,233604,2348000,89000,39709,24069,4503000,59000
2023-02-09,4255000,736715000,175.5,175.5,172.0,172.5,-3.0,3560,12000,29000,1291000,0,70965,37738,2272000,5000
2023-02-10,18345000,3058640000,162.5,173.0,160.0,171.0,-1.5,12795,193000,120460,7150353,82000,236270,405382,8253000,134000
2023-02-13,7561000,1280440000,168.5,173.0,166.0,169.0,-2.0,5610,82000,112596,2241000,88000,87371,42112,3767000,217000
2023-02-14,4925000,838915000,168.5,172.0,168.5,170.5,1.5,4082,94000,102020,2263120,66000,48519,15000,2416000,0
2023-02-15,9214000,1603361000,169.5,176.5,169.5,173.0,2.5,6781,116000,469441,3930952,20000,46755,171000,4516077,140000
2023-02-16,6083000,1045399000,173.0,174.0,170.0,171.0,-2.0,5246,159154,154000,1227326,78000,160831,12000,3666000,72000
2023-02-17,5190000,896464000,169.5,175.0,169.0,173.0,2.0,3871,75000,23803,2181100,23000,53822,43100,2097572,0
2023-02-20,4774000,843105000,174.0,178.5,174.0,178.0,5.0,4171,198663,134182,1610050,12000,25142,10249,867000,48000
2023-02-21,6306000,1129913000,179.0,182.5,176.0,177.0,-1.0,5381,242184,190309,1348790,68000,192663,133473,2028000,2000
2023-02-22,4362000,755355000,175.0,176.0,171.0,172.0,-5.0,3897,26000,13649,1333000,26000,185864,193000,1417000,0
2023-02-23,2810000,489955000,174.0,176.0,172.0,174.5,2.5,2350,90951,98382,1240710,0,19490,12000,1101296,2000
2023-02-24,3792000,653036000,176.0,176.5,170.0,170.0,-4.5,2935,17000,16944,1397684,2000,154763,226000,1902076,33000
2023-03-01,5722000,948181000,164.0,167.5,163.5,166.5,-3.5,4920,143000,139000,1873370,4000,83742,141070,3724388,3000
2023-03-02,2139000,356867000,166.0,168.0,165.0,167.0,0.5,2162,22000,20000,560617,0,31889,11000,933574,7000
2023-03-03,4174000,701571000,168.5,170.5,166.5,167.0,0.0,3483,52028,72000,1432119,15000,24077,16162,2488434,6000
2023-03-06,5842000,1014771000,169.5,176.0,169.0,175.5,8.5,4725,173134,287927,2485292,0,38107,29000,1534200,155000
2023-03-07,3980000,695009000,175.5,177.5,173.0,173.0,-2.5,5576,66000,64000,1487100,12000,116884,43700,2041443,0
2023-03-08,3303000,578144000,172.0,177.5,171.5,176.5,3.5,2876,175727,161272,1259990,0,61003,9000,1093508,1000
2023-03-09,3249000,568586000,177.5,178.0,173.5,174.0,-2.5,2892,14000,43000,1164400,0,114050,79516,1846844,3000
2023-03-10,7280000,1215211000,170.0,172.0,164.0,164.5,-9.5,7263,95000,44000,723000,0,177610,344554,3474998,0
2023-03-13,3990000,654751000,163.5,166.5,161.5,165.0,0.5,3570,51000,143100,1519664,0,63785,74690,1767148,104000
2023-03-14,2641000,431413000,163.0,165.0,162.0,162.5,-2.5,2565,57000,16000,752400,0,30786,7413,1575000,9000
2023-03-15,2594000,431908000,166.0,168.5,165.0,165.5,3.0,2330,99064,88000,1311500,0,37458,33000,926853,2000
2023-03-16,2282000,377186000,164.0,167.5,163.5,165.5,0.0,2063,27000,6300,1225535,0,66500,17812,926000,18000
2023-03-17,4414000,738901000,168.0,169.0,165.0,168.0,2.5,3239,78000,33000,2204574,200539,12124,6211,2481135,12000
2023-03-20,4604000,791980000,170.0,174.0,169.5,171.0,3.0,3553,112000,136160,1661000,0,22090,34030,1132000,12000
2023-03-21,3883000,665481000,173.5,174.5,169.0,172.0,1.0,6796,15000,68379,2289720,0,70000,82137,2488150,3000
2023-03-22,2129000,366646000,174.0,174.0,171.0,171.5,-0.5,2115,25000,75015,1055000,1468,22000,18224,661000,10000
2023-03-23,2171000,376538000,172.5,174.5,172.0,173.5,2.0,2017,90957,42200,677336,999,9000,19000,617507,42000
2023-03-24,8472000,1510487000,173.5,181.0,173.0,179.5,6.0,6251,243970,253683,3512065,282,72052,54000,1777059,10000
2023-03-27,9779000,1770200000,180.5,185.5,176.0,181.0,1.5,9434,230271,86600,2179152,17000,150500,137000,3147000,10000
2023-03-28,12663000,2318898000,181.5,187.0,177.5,186.0,5.0,11672,354381,223781,4193710,1070,202129,188000,2531008,9000
2023-03-29,16456000,3011759000,188.0,188.5,178.5,178.5,-7.5,13112,62000,70100,2037345,1046,314321,514494,4341679,2000
