Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation,buy_Dealer_Hedging,buy_Dealer_self,buy_Foreign_Investor,buy_Investment_Trust,sell_Dealer_Hedging,sell_Dealer_self,sell_Foreign_Investor,sell_Investment_Trust
2023-01-03,40806145,455928043,11.05,11.3,11.0,11.2,0.15,6118,471232,554000,22261996,10000,34000,138000,22213272,0
2023-01-04,47326239,535498326,11.15,11.45,11.15,11.3,0.1,7855,654181,516000,29395376,11000,59000,206000,27700685,0
2023-01-05,34110156,388939141,11.4,11.5,11.3,11.4,0.1,6501,32927,22000,24870504,0,457000,377000,12967016,0
2023-01-06,87147305,1018652607,11.4,11.8,11.4,11.75,0.35,11529,1351524,1241000,56686798,236000,40000,61000,38785387,0
2023-01-09,46624349,548282056,11.85,11.9,11.65,11.75,0.0,8595,55714,234000,15877000,507000,504000,840000,18359618,0
2023-01-10,33016949,386689559,11.75,11.8,11.6,11.75,0.0,6077,57079,38000,21994200,0,172000,10000,11714035,8000
2023-01-11,27634828,325639229,11.8,11.85,11.7,11.8,0.05,5291,93671,238000,18790748,0,364000,66000,12011825,0
2023-01-12,25765336,300217754,11.8,11.8,11.55,11.6,-0.2,6901,22000,6000,6956905,4000,227191,560000,11737140,1000000
2023-01-13,14748257,171059615,11.65,11.75,11.55,11.55,-0.05,4280,36996,2000,4993340,5000,192000,160000,3626300,10000
2023-01-16,18929221,219388024,11.55,11.65,11.55,11.6,0.05,5764,43768,290000,10626000,0,203000,344000,4032090,10000
2023-01-17,33301799,380542350,11.6,11.65,11.3,11.45,-0.15,8201,1000,26000,9562972,0,238388,120000,19016360,2547000
2023-01-30,78635677,935183009,11.75,12.0,11.65,12.0,0.55,15823,1586658,1121000,51988373,43000,346000,205000,14763672,0
2023-01-31,70157147,857868423,11.95,12.4,11.85,12.2,0.2,17918,2090748,323000,41723928,9000,492159,202000,21916375,2459000
2023-02-01,35621162,433076174,12.35,12.35,12.05,12.15,-0.05,9389,81477,152000,10946895,0,2467191,466000,17692242,1000000
2023-02-02,33333292,406495376,12.2,12.3,12.1,12.25,0.1,7363,368855,104000,12733670,10000,11000,138000,17705326,0
2023-02-03,28108354,340456033,12.25,12.25,12.05,12.05,-0.2,6796,76007,1741095,9792642,0,94000,287000,14973460,674000
2023-02-06,34075069,414521591,12.05,12.3,12.05,12.15,0.1,7224,454373,86000,22878457,3000,138870,80000,12470890,23000
2023-02-07,84830503,1055014150,12.2,12.55,12.2,12.5,0.35,16098,1830366,2653000,38756453,0,117000,414000,27027065,0
2023-02-08,200166523,2600238403,12.6,13.25,12.5,13.05,0.55,38518,4327229,8161000,71521826,1189000,880000,628000,28145905,24000
2023-02-09,69968133,906619119,12.9,13.15,12.8,13.0,-0.05,13237,1101507,654000,16790000,411000,3321000,2186000,26730531,24000
2023-02-10,52824413,673858182,12.85,12.95,12.65,12.65,-0.35,11571,33000,433000,19093965,0,1680897,2684000,11806000,1000
2023-02-13,45098561,562763556,12.75,12.8,12.35,12.5,-0.15,10291,37124,292000,12107608,0,776603,3313000,22876000,21000
2023-02-14,60052653,771272339,12.65,13.0,12.6,12.9,0.4,10891,1314950,983000,33019176,0,167000,517000,8118624,0
2023-02-15,140825570,1854175928,12.9,13.4,12.8,13.1,0.2,25298,1905856,2322000,64356886,13226000,1659000,3227000,22252112,32000
2023-02-16,126348217,1701698716,13.3,13.6,13.2,13.6,0.5,25638,1953556,2901000,53647699,5283000,1185000,29000,16163317,0
2023-02-17,150928680,2098904686,13.55,14.15,13.45,14.1,0.5,33412,5234477,1231000,61817666,20017000,1769000,478000,14319666,11000
2023-02-20,236035090,3440123928,14.4,14.9,14.2,14.8,0.7,49621,5085064,3344000,55286976,38697000,2470000,2100000,62111002,0
2023-02-21,141972965,2094253625,14.75,14.9,14.45,14.8,0.0,30285,1286095,1550000,53142366,13189000,3615761,3732000,19557297,0
2023-02-22,160755880,2404414984,14.7,15.1,14.65,15.05,0.25,36095,2119449,3720000,43223576,6454000,1155000,1797000,32493566,0
2023-02-23,128960668,1908110109,15.1,15.15,14.55,14.7,-0.35,36067,475000,994000,18353111,911000,1333783,2066000,60570000,44000
2023-02-24,97998732,1448512419,14.6,14.95,14.55,14.7,0.0,15414,852883,208000,55192227,125000,239000,924000,38483894,232000
2023-03-01,73689144,1076241881,14.7,14.85,14.4,14.65,-0.05,18902,451594,982000,24024720,4330000,1418429,1300000,39407474,11000
2023-03-02,85238794,1225642707,14.6,14.7,14.25,14.35,-0.3,18620,220998,1153000,31995475,4000,432027,1900000,43583539,0
2023-03-03,206631833,3092049595,14.75,15.3,14.6,15.05,0.7,38920,4580327,6680000,64740522,12663000,421000,1074000,49932000,0
2023-03-06,183391935,2832264050,15.2,15.7,15.15,15.6,0.55,36339,3262528,7842000,49401129,22031000,1716323,2027000,62628175,11000
2023-03-07,113998504,1737924965,15.35,15.45,15.05,15.15,-0.45,25983,312332,763000,24812500,13416000,1686365,4626000,56206986,185000
2023-03-08,61847037,941005381,15.1,15.3,15.05,15.3,0.15,14404,987711,392000,22713309,38000,1141000,1354000,20365844,34000
2023-03-09,129802503,1928835112,15.4,15.4,14.65,14.65,-0.65,33906,337000,661000,19605910,0,1116438,2574000,60505105,311000
2023-03-10,76774524,1111549087,14.5,14.65,14.35,14.45,-0.2,17265,345343,446000,29396608,0,591526,3568000,30905545,1521000
2023-03-13,59821793,861139489,14.3,14.6,14.1,14.55,0.1,12302,678937,806000,23487821,0,1103382,1540000,18931366,1605000
2023-03-14,69593726,989242395,14.35,14.45,14.1,14.15,-0.4,16635,57000,0,24413089,8000,1881423,3018000,38349143,109000
2023-03-15,47610852,677252171,14.35,14.5,14.05,14.05,-0.1,11946,48611,261000,14655696,80000,1263267,1887000,18396875,1590000
2023-03-16,67298624,956318544,14.05,14.45,14.05,14.2,0.15,12884,585055,1433000,24175383,29000,169673,953000,21307000,1877000
2023-03-17,147469950,2145295490,14.25,14.85,14.1,14.55,0.35,20122,2837545,2569000,55258058,30081998,767509,579000,75166464,62350
2023-03-20,42335874,612800172,14.65,14.75,14.35,14.45,-0.1,9055,108654,362000,8581100,0,709483,921000,17791187,2638000
2023-03-21,78033182,1157352693,14.8,15.0,14.7,14.7,0.25,14725,1253456,792000,23818382,2524000,87000,1242000,20773384,6248000
2023-03-22,47837617,702521443,14.8,14.9,14.6,14.65,-0.05,10373,44000,37000,8623635,641278,677308,315000,21225000,876000
2023-03-23,88301478,1266416994,14.5,14.7,14.2,14.25,-0.4,22292,651000,586000,16590893,93737,261770,2695000,30596936,19248000
2023-03-24,54860875,789134438,14.3,14.55,14.25,14.5,0.25,14355,1936118,1082000,26996049,21967,146000,140000,11895800,11734000
2023-03-27,35954393,522087508,14.6,14.75,14.35,14.4,-0.1,8308,296991,400000,13462000,54000,842268,708000,14260821,511000
2023-03-28,42451820,606224710,14.5,14.55,14.15,14.25,-0.15,14078,57719,156000,20171365,1188276,868599,240000,8211695,7157000
2023-03-29,37764445,546831343,14.35,14.6,14.35,14.55,0.3,8800,1202612,358000,20978211,2322417,602000,182000,4673375,0
2023-03-30,35166674,508144101,14.65,14.7,14.3,14.4,-0.15,7289,381996,760000,8706120,0,1035163,667010,19328740,1622000
2023-03-31,32701282,474273229,14.5,14.6,14.4,14.5,0.1,6625,231923,1049000,22264725,23000,110708,140000,12790779,12000
2023-04-06,54594654,792808900,14.5,14.75,14.2,14.55,0.05,9841,2046734,821000,26626911,18000,61996,612000,22353450,22000
2023-04-07,35439359,518750833,14.65,14.75,14.55,14.6,0.05,7275,591971,100000,9611700,902000,998000,106000,13569000,10000
2023-04-10,23764748,348285897,14.65,14.75,14.55,14.7,0.1,5951,1309042,216000,7938000,6178,468000,477000,5163000,24000
2023-04-11,48719336,723746318,14.8,14.95,14.75,14.9,0.2,10540,1721056,1807000,19776302,318000,418000,528000,11102000,11000
2023-04-12,79079031,1178936635,14.95,15.15,14.6,15.15,0.25,17108,3052288,5298000,17379301,0,1467839,817000,19468907,900000
2023-04-13,158568845,2426315056,15.15,15.6,15.0,15.05,-0.1,27410,4359781,2848000,78294624,2097000,1517965,2934000,47005933,39000
2023-04-14,108835750,1663015001,15.3,15.6,15.05,15.15,0.1,20285,1469959,978000,36677430,1283000,1456488,1220000,40266496,0
2023-04-17,67339201,1007504768,15.2,15.25,14.8,14.9,-0.25,15455,302978,198000,14515139,480000,1580899,1676000,22200743,4697000
2023-04-18,53625104,789939560,14.95,14.95,14.6,14.65,-0.25,13216,107000,124000,16044200,8000,876884,897000,23071115,1600000
2023-04-19,161544637,2279888618,14.55,14.6,13.95,14.05,-0.6,36559,1275806,2492992,27651200,1982162,873623,4982000,61608096,2314000
2023-04-20,89594387,1263164376,14.05,14.25,13.9,14.1,0.05,20969,1386521,859000,40165200,1199042,582000,1839000,23800277,11552000
2023-04-21,84694262,1215026673,14.25,14.55,14.2,14.35,0.25,17648,1083927,871000,46256782,906288,1747000,1883000,31939905,0
2023-04-24,44420632,632669365,14.3,14.35,14.1,14.2,-0.15,8065,56001,304000,19658200,12000,1541159,302000,27554000,550000
2023-04-25,52166499,730413536,14.3,14.35,13.8,13.85,-0.35,13936,217000,146000,22018598,2250000,409891,468000,21966000,676000
2023-04-26,43835338,611938195,13.9,14.05,13.8,14.0,0.15,11814,1097282,2047000,27217100,37000,209861,423000,21327290,869000
2023-04-27,31767016,442364729,14.0,14.1,13.85,13.9,-0.1,7738,67108,782000,11652111,4000,485630,320000,21787850,0
2023-04-28,107337062,1453170540,13.9,13.95,13.35,13.4,-0.5,23696,418000,946000,20105959,8000,1104082,1804000,73563205,0
2023-05-02,61733763,852208099,13.6,14.0,13.55,13.9,0.5,19016,1716564,1439000,28591100,3022000,273000,349000,18987836,2616000
2023-05-03,88906509,1203041561,13.8,13.9,13.35,13.45,-0.45,18755,390000,354000,27063401,3000,580665,284000,25061618,40530000
2023-05-04,46594765,626188462,13.45,13.6,13.2,13.6,0.15,9747,158395,593000,22607329,103917,502623,884000,15343340,5020000
2023-05-05,23757257,323832710,13.6,13.75,13.5,13.65,0.05,6100,990122,1198125,9328519,110917,186000,0,7276421,0
2023-05-08,55528375,749656691,13.75,13.75,13.4,13.4,-0.25,11085,142000,927000,14378019,536753,409028,1464000,38431593,0
2023-05-09,74477774,1015066191,13.5,13.8,13.45,13.55,0.15,13483,571472,405000,31744947,1855000,124929,214000,37116000,0
2023-05-10,23356223,317164630,13.55,13.65,13.45,13.65,0.1,5015,15000,300000,12350100,112043,460000,242000,10478920,0
2023-05-11,46849707,625361080,13.6,13.65,13.2,13.3,-0.35,10776,46000,176000,12612000,204000,1789602,1114000,17866175,30000
2023-05-12,49829367,653112769,13.25,13.25,13.05,13.1,-0.2,12318,20000,238000,18456375,185319,544280,526000,16171949,0
2023-05-15,37443555,489834545,13.1,13.2,13.0,13.1,0.0,6048,310376,361000,22474548,89980,45000,182000,8474000,16600000
2023-05-16,26225004,348912500,13.2,13.4,13.15,13.25,0.15,6576,486252,1460000,13568352,108973,206000,94000,7155488,43000
2023-05-17,30585248,410723855,13.35,13.5,13.3,13.4,0.15,8841,1110915,4231000,13994600,262000,157000,142000,10890119,0
2023-05-18,33720209,454745313,13.5,13.6,13.3,13.5,0.1,8182,866632,1746000,15419150,163000,526000,54000,10107810,0
2023-05-19,30527063,414846093,13.6,13.65,13.45,13.6,0.1,6520,180348,827000,10888195,0,336000,468000,8847781,0
2023-05-22,63403902,886867452,13.8,14.1,13.8,14.0,0.4,16025,2110713,1968000,20477089,2612000,114000,260000,12538000,0
2023-05-23,49596764,692221526,14.0,14.1,13.8,13.85,-0.15,11211,180188,891000,11605643,877000,1065475,2269000,26596258,200000
2023-05-24,28287602,392940846,13.8,14.0,13.75,13.95,0.1,7254,643505,899000,12851240,83000,77000,348000,13123437,0
2023-05-25,30390556,421820557,14.0,14.0,13.8,13.8,-0.15,7282,263999,310000,4283200,5241000,440000,325000,13085000,1848000
2023-05-26,60225865,822210564,13.85,14.0,13.5,13.65,-0.15,13681,82626,334000,12941550,0,831212,635000,22329451,85000
2023-05-29,78907516,1111950521,13.85,14.3,13.8,14.1,0.45,16636,2971395,2300000,27701540,40000,222000,703000,16105306,81000
2023-05-30,37926258,531237945,14.2,14.2,13.9,13.95,-0.15,9951,83810,154000,12577900,100000,885175,1293000,18441235,422000
2023-05-31,48304068,673672307,14.0,14.1,13.9,13.9,-0.05,7593,613560,2473000,26913908,3000,113000,188015,32844385,299627
2023-06-01,27035155,375227917,13.95,14.0,13.8,13.85,-0.05,6258,210000,523000,9073618,82000,445086,618000,10113600,211000
2023-06-02,38635862,536645022,13.9,13.95,13.8,13.95,0.1,7719,305421,319000,19741215,92000,227000,328000,14596400,1043000
2023-06-05,152149364,2217548998,14.05,14.9,14.0,14.75,0.8,32983,6980372,1325000,55290973,400000,321000,1252000,21080740,249381
2023-06-06,92120279,1365574998,14.75,14.95,14.6,14.9,0.15,20586,1259209,165405,32454801,9900000,1487000,388000,18698906,167857
2023-06-07,77267326,1156048754,15.05,15.2,14.8,14.85,-0.05,19999,473890,1667000,22208488,0,2282000,604000,27550674,143905
2023-06-08,45206229,660741090,14.9,14.9,14.5,14.55,-0.3,10290,134000,398000,12907300,5400000,1418000,381000,12874043,175476
2023-06-09,31140489,455736302,14.7,14.75,14.5,14.7,0.15,8010,447703,928000,7355463,0,103000,220000,13060306,14000
2023-06-12,52638760,779976401,14.8,15.05,14.65,14.7,0.0,14561,903958,614000,12705570,0,197000,487000,12252000,4170000
2023-06-13,45789684,671902173,14.75,14.8,14.6,14.65,-0.05,10173,244365,1365000,16936300,0,484000,320000,17890715,3228000
2023-06-14,39424578,574824809,14.65,14.75,14.5,14.5,-0.15,8946,184519,781000,12242932,1000,974000,459000,17278350,184000
2023-06-15,65388347,945621535,14.55,14.65,14.3,14.65,0.15,14678,870336,1363000,27298172,0,781000,702000,20771560,6764779
2023-06-16,90113433,1333761414,14.85,14.95,14.65,14.7,0.05,16227,1845223,1306000,38620279,17000,296000,3346000,34025872,5289460
2023-06-19,414704251,6568463487,14.65,16.15,14.55,16.1,1.4,74202,11588482,4418000,122458508,197000,2049000,842000,31757175,503029
2023-06-20,173766148,2767235157,16.1,16.2,15.65,15.7,-0.4,35379,1291586,463000,41067000,1609000,5827000,2918000,42497200,932000
2023-06-21,241893518,3954396564,15.9,16.65,15.85,16.5,0.8,53705,5599294,2574563,54515178,10110000,4247000,1534000,50049530,489887
2023-06-26,134907550,2219284571,16.5,16.8,16.25,16.25,-0.25,32925,1207577,836334,23621173,1661000,3635000,1112000,57260399,3080000
2023-06-27,122047730,1916158013,16.1,16.15,15.45,15.5,-0.75,32084,278961,368000,18850200,131000,4083803,2314000,44925128,1833667
2023-06-28,65303648,1010846601,15.75,15.75,15.35,15.4,-0.1,15423,612000,413000,14501656,14000,524898,843000,26182030,43704
2023-06-29,61665658,952808180,15.55,15.7,15.3,15.45,0.05,13442,1725512,1138198,13242000,8000,517000,660000,32572985,23887
2023-06-30,75622335,1149727177,15.4,15.4,15.1,15.25,-0.2,17244,782829,277000,20219030,800000,827256,132000,24879556,267000
2023-07-03,68985569,1072321810,15.5,15.8,15.35,15.4,0.15,14455,1568000,1132000,16009200,10000,352000,538000,25812030,8000
2023-07-04,50242949,777787824,15.4,15.65,15.25,15.55,0.15,11806,1859661,77001,12166000,0,557000,61000,17140000,734895
2023-07-05,47040501,725411482,15.5,15.55,15.3,15.4,-0.15,9931,388000,68000,15571537,0,579771,676000,21966000,1402000
2023-07-06,219471980,3484021379,15.75,16.15,15.6,15.7,0.3,40145,5391498,1505999,75642154,0,844000,1731000,82495635,408000
2023-07-07,82410402,1267684362,15.55,15.6,15.25,15.35,-0.35,19146,240000,22000,11515267,0,3339000,853000,42135918,410000
2023-07-10,56810120,878837956,15.3,15.6,15.25,15.5,0.15,10829,495000,25000,24006000,0,468000,368000,20613400,7000
2023-07-11,133359874,2135848668,15.75,16.2,15.7,16.1,0.6,27062,3077432,1645214,64046258,0,1294000,32000,14644860,35000
2023-07-12,68073308,1091451229,16.15,16.3,15.85,15.9,-0.2,15809,512000,751000,16673467,0,2161000,764000,22833700,92000
2023-07-13,80723278,1302526698,16.1,16.25,16.0,16.05,0.15,15971,846895,1258064,40613210,1200000,461000,324000,11506354,49000
