Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation,buy_Dealer_Hedging,buy_Dealer_self,buy_Foreign_Investor,buy_Investment_Trust,sell_Dealer_Hedging,sell_Dealer_self,sell_Foreign_Investor,sell_Investment_Trust
2018-10-19,18388029,659237999,35.0,36.9,34.5,36.9,0.0,7498,0,1006000,2349319,3273000,0,329,0,0
2018-10-22,16668944,628047691,37.1,38.1,37.05,37.35,0.45,6210,0,653000,3752000,2750000,0,150000,61000,0
2018-10-23,7449672,273810828,37.35,37.35,36.45,36.55,-0.8,2838,0,310000,393000,1581000,0,116,613600,0
2018-10-24,10424948,380913268,36.35,36.95,35.8,36.8,0.25,3913,0,15000,1597000,3995000,0,275000,559862,0
2018-10-25,7244735,263744329,36.0,36.65,35.95,36.2,-0.6,2437,0,110000,1542000,1319000,0,20000,165000,0
2018-10-26,8669634,313871598,36.4,36.5,35.9,36.45,0.25,3307,0,121000,1507000,3657000,0,100000,6000,0
2018-10-29,11409335,423308447,36.35,37.5,36.15,37.35,0.9,4569,0,140000,1279873,4869000,0,11415,10000,0
2018-10-30,21778064,833202479,37.3,38.6,37.15,38.4,1.05,7482,0,65000,5157000,9406000,0,981650,550000,0
2018-10-31,7279065,280126270,38.35,38.8,37.8,38.45,0.05,3094,0,268000,2349217,1072000,0,200000,3317,0
2018-11-01,3759562,144489120,38.4,38.5,38.2,38.5,0.05,2053,0,0,1532000,1046000,0,70,30000,0
2018-11-02,6175326,236877641,38.5,38.6,37.8,38.6,0.1,2921,0,0,2800000,405000,0,0,1406000,0
2018-11-05,3395436,131020451,38.2,38.7,38.2,38.7,0.1,1395,0,250000,1964166,139000,0,0,8000,0
2018-11-06,8845702,345427818,38.65,39.2,38.5,38.95,0.25,2730,0,464000,4104000,1073000,0,100000,656446,0
2018-11-07,16601514,659937587,38.95,40.0,38.95,39.95,1.0,4551,0,202000,4162000,5720000,0,25000,109638,0
2018-11-08,4998164,198874559,39.95,40.0,39.45,39.9,-0.05,2009,0,310000,1279000,286000,0,0,797000,0
2018-11-09,2960793,117218815,39.9,39.9,39.5,39.55,-0.35,1266,0,0,644000,219000,0,0,620000,0
2018-11-12,11486439,460747361,39.55,40.5,39.5,40.5,0.95,3748,0,0,3197519,1617000,0,200000,427000,0
2018-11-13,11549067,469633222,40.05,41.0,39.9,40.8,0.3,3354,0,136000,2802000,2106000,0,669000,1313000,0
2018-11-14,15894226,623381549,40.2,40.2,38.65,39.15,-1.65,6245,0,765000,1958000,1113000,0,0,5627900,0
2018-11-15,3342761,130097796,39.0,39.15,38.7,39.05,-0.1,1765,0,163000,1425000,240000,0,85000,309000,349000
2018-11-16,7937008,308326240,39.05,39.2,38.55,38.55,-0.5,2801,0,719000,2033000,200000,0,0,1347446,0
2018-11-19,4491098,174972337,38.6,39.3,38.6,39.2,0.65,2488,0,56000,1752000,43000,0,271000,94000,0
2018-11-20,2171221,84424980,39.1,39.1,38.8,38.9,-0.3,1446,0,46000,771000,20000,0,78000,267000,0
2018-11-21,2809334,109312774,38.6,39.1,38.6,38.9,0.0,1222,0,132000,1299000,30000,0,0,558000,0
2018-11-22,2523854,97976856,38.9,38.95,38.65,38.9,0.0,1382,0,6000,577000,777000,0,0,663000,0
2018-11-23,3658618,143136802,38.9,39.45,38.75,39.2,0.3,1418,0,0,537000,1336000,0,0,345000,0
2018-11-26,9948035,396185425,39.25,40.0,39.25,39.95,0.75,3461,0,0,3332000,2117000,0,406000,380000,0
2018-11-27,9411281,370710318,39.8,39.8,39.05,39.6,-0.35,3471,0,200000,2811000,2306000,0,249000,4889000,0
2018-11-28,5436214,212301309,39.5,39.5,38.85,39.1,-0.5,2686,0,100000,1921000,140000,0,200000,569000,954000
2018-11-29,7126428,276453343,39.1,39.15,38.65,38.8,-0.3,4241,0,26000,2979000,244000,0,0,158000,2285000
2018-11-30,7826386,307967886,39.05,39.95,38.5,39.95,1.15,3105,0,280000,5329000,526000,0,140000,1673000,597000
2018-12-03,5309078,210090182,39.6,39.85,39.25,39.8,-0.15,2011,0,103000,1885000,0,0,0,1791000,100000
2018-12-04,3595239,141346083,39.5,39.6,39.1,39.2,-0.6,2218,0,29000,1658000,0,0,0,1159000,1381000
2018-12-05,3483051,135714784,38.9,39.35,38.7,39.05,-0.15,1449,0,12000,953000,0,0,201000,1561000,0
2018-12-06,5518187,213419068,39.05,39.05,38.4,38.8,-0.25,2411,0,64000,1455000,0,0,119000,1001000,221000
2018-12-07,1229715,47670373,39.0,39.0,38.7,38.8,0.0,475,0,145000,350000,0,0,10000,623878,0
2018-12-10,3986116,155457202,38.95,39.25,38.8,38.95,0.15,2228,0,0,1943000,573000,0,0,1057000,0
2018-12-11,4004267,156775836,39.05,39.5,38.9,39.25,0.3,1634,0,0,2023000,700000,0,353000,1177000,0
2018-12-12,3041573,119672628,39.5,39.5,39.2,39.25,0.0,1283,0,1000,1678000,224000,0,0,1278000,0
