Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation,buy_Dealer_Hedging,buy_Dealer_self,buy_Foreign_Investor,buy_Investment_Trust,sell_Dealer_Hedging,sell_Dealer_self,sell_Foreign_Investor,sell_Investment_Trust
2023-01-03,23686531,3820730738,163.0,164.0,160.0,160.0,-3.0,10658,76000,65000,2848000,97000,292000,267000,8754330,500000
2023-01-04,25397174,4015210766,161.0,161.5,156.0,156.0,-4.0,14138,175000,663000,3782960,6000,39272,567438,9389631,0
2023-01-05,20465675,3238706218,158.0,160.5,156.5,156.5,0.5,10681,446339,293000,6296957,203000,103545,218000,5086922,0
2023-01-06,12142062,1920032026,158.0,159.5,156.0,159.0,2.5,6600,157000,277000,4482868,15000,185000,131000,1896903,500000
2023-01-09,33194560,5174135128,158.0,158.5,154.5,155.0,-4.0,17332,76000,55000,4267645,22000,253000,266013,10782055,1364000
2023-01-10,12602221,1966171463,155.5,157.5,155.0,155.5,0.5,7278,175000,81000,4703500,27000,162723,102113,3497044,375000
2023-01-11,19448131,3069131709,157.0,160.0,156.5,156.5,1.0,9917,295000,205301,7508445,28000,107000,76000,5240680,0
2023-01-12,22161914,3415594076,157.5,158.0,152.5,152.5,-4.0,15210,32000,75000,2434377,191782,432465,299913,9671345,43000
2023-01-13,13672185,2093665496,154.0,154.5,152.5,152.5,0.0,7778,125000,568000,3211745,11000,51000,66240,3477424,2000
2023-01-16,17171904,2589106968,153.0,153.5,149.5,151.5,-1.0,11077,38000,87000,4004510,50000,157108,95023,2529000,244923
2023-01-17,17230114,2641628626,153.5,155.5,152.0,152.5,1.0,8690,204000,195999,5832568,70000,31000,73000,2858400,1646353
2023-01-30,21048516,3180772754,153.0,153.5,150.0,150.5,-2.0,13122,64425,71000,6831651,75000,152000,136000,8711887,1517533
2023-01-31,13805204,2097733393,152.0,153.5,151.0,152.0,1.5,6832,115564,16886,6400549,420000,81000,56000,3992801,12235
2023-02-01,14304390,2178096411,152.5,153.5,151.0,152.0,0.0,7645,145000,285999,6908485,74000,103000,18884,4376573,5293
2023-02-02,26593417,4123991901,154.0,156.0,154.0,156.0,4.0,12570,460000,687026,14372552,64000,105000,139000,3358062,1725550
2023-02-03,34158216,5404464563,158.5,160.0,156.0,157.0,1.0,18283,264000,378812,9012392,74000,166000,650000,10497137,13156
2023-02-06,28148209,4281202909,156.0,156.5,150.5,151.0,-6.0,18621,97000,491000,1462794,69124,340104,14569,14409684,141000
2023-02-07,13555338,2048753412,152.0,152.0,150.5,151.0,0.0,5920,61000,454000,5917267,0,7000,12756,6748175,72645
2023-02-08,8844276,1339469739,152.0,152.0,151.0,151.5,0.5,5664,277000,296000,1745117,0,21000,71000,2731189,603000
2023-02-09,12167793,1833146537,151.5,152.0,150.0,150.0,-1.5,8408,17023,143000,1677010,0,166000,428997,4715823,1643
2023-02-10,25544250,3775384321,151.0,151.5,146.5,147.0,-3.0,18159,129000,587000,4795000,2528,231500,266187,8625607,600000
2023-02-13,21108147,3031259383,146.0,146.5,142.5,143.5,-3.5,14920,125009,543000,3799100,3000,317000,87593,4484405,605000
2023-02-14,24638100,3629648156,145.5,149.0,145.0,149.0,5.5,13355,688000,373000,9770705,0,11000,374000,2428165,174643
2023-02-15,16442481,2423121353,149.0,149.0,146.0,146.5,-2.5,11413,34000,89000,5265620,0,742979,754000,6636621,769000
2023-02-16,10042209,1479702007,147.0,148.0,145.5,148.0,1.5,6358,212329,53000,5378960,2000,27000,153146,2535789,79000
2023-02-17,10357721,1514125553,146.5,147.0,145.5,146.0,-2.0,7528,68000,548000,2367000,7000,182000,64139,4801322,23643
2023-02-20,8951220,1312724748,146.0,147.5,145.0,147.0,1.0,5729,348037,689000,3450794,5000,12001,36000,2118000,12000
2023-02-21,42687050,6486525128,148.5,155.0,147.0,155.0,8.0,22782,1193000,1646586,20865673,90000,108000,616000,3415406,1000
2023-02-22,35721736,5509512316,154.0,156.0,152.0,152.5,-2.5,17617,271000,273215,11678658,114000,195304,1344000,9044276,7642
2023-02-23,34603881,5423905167,153.5,158.5,153.5,158.0,5.5,19249,861222,1420991,14402717,415000,81000,444000,3835200,5000
2023-02-24,32485781,5103408774,158.5,159.5,155.5,157.0,-1.0,14349,345999,290997,14778331,183000,502285,930000,11376698,7642
2023-03-01,21365944,3322713267,157.5,158.0,154.0,156.0,-1.0,10850,115796,458649,8266157,171000,147000,498792,8252610,9000
2023-03-02,34187903,5465813779,158.0,161.0,157.5,160.5,4.5,18067,738149,1221207,14397972,201000,22000,342000,3679457,2000
2023-03-03,37287917,5991249150,161.0,163.0,158.5,163.0,2.5,17555,545228,1536576,11909080,252000,258000,994453,4843700,4000
2023-03-06,29710614,4856444465,164.5,165.0,161.5,164.5,1.5,15021,166616,483000,12098780,304000,395000,945000,8674037,9000
2023-03-07,26356283,4302344993,163.5,166.0,162.0,166.0,1.5,12950,467380,421000,14732696,4000,53005,331000,6963441,20000
2023-03-08,24913929,4047283715,164.0,164.5,161.0,161.0,-5.0,15199,69000,271000,2123242,3000,160000,248000,12990350,5000
2023-03-09,26516073,4337914904,161.5,165.0,161.0,164.5,3.5,13093,723000,3618000,10122424,3000,33000,458000,3029000,122000
