Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation,buy_Dealer_Hedging,buy_Dealer_self,buy_Foreign_Investor,buy_Investment_Trust,sell_Dealer_Hedging,sell_Dealer_self,sell_Foreign_Investor,sell_Investment_Trust
2023-01-03,3191623,339115425,105.0,107.5,104.0,107.0,2.0,1730,64000,15000,1534000,9000,21924,20000,1814199,90000
2023-01-04,3052177,320747534,107.0,107.0,104.0,104.5,-2.5,1941,55000,17000,1514000,24000,25722,0,1677672,730000
2023-01-05,4542354,473218039,105.5,106.0,103.0,103.5,-1.0,2498,48000,26000,2233920,9000,12615,26000,2428610,1136000
2023-01-06,3501069,366371311,105.0,106.0,104.0,104.5,1.0,2046,20000,30000,1270145,5000,20348,3099,1342451,1295000
2023-01-09,5816561,626436663,106.5,109.0,105.5,107.5,3.0,3403,60405,136000,2405000,1012000,40249,16722,2134526,79818
2023-01-10,4589546,494145955,107.5,108.5,106.5,108.0,0.5,2485,9000,25000,3123000,35000,46087,32000,3703000,6000
2023-01-11,2260607,244250390,108.0,109.0,107.5,107.5,-0.5,1503,20000,4000,1411168,2000,1863,4000,1356000,4000
2023-01-12,1645615,175306899,107.5,108.0,106.0,106.5,-1.0,1274,35000,1000,805164,18000,18073,41105,1076023,91000
2023-01-13,1805345,192801109,107.5,107.5,106.0,106.5,0.0,1067,15000,12000,814396,9000,25148,48014,1154000,3000
2023-01-16,1579417,168736377,107.0,108.0,106.0,106.5,0.0,1064,52371,34000,762000,11000,7000,0,1108000,58000
2023-01-17,2199605,234635144,107.0,107.0,106.0,107.0,0.5,1390,11000,0,1354861,12000,47000,22000,1430000,241836
2023-01-30,4875705,531544085,109.5,110.0,108.0,109.0,2.0,2658,38643,0,3706488,68000,67320,44000,1903031,4810
2023-01-31,4147738,455076420,109.0,110.5,108.5,110.0,1.0,1730,19000,46564,3003832,35000,42000,0,2982147,206000
2023-02-01,3298995,368119038,110.0,112.5,110.0,111.5,1.5,1938,56401,18000,1767873,28000,41027,4000,1847876,4000
2023-02-02,3040509,341933663,112.5,113.5,111.5,113.0,1.5,1947,15216,1000,1484000,1000,43000,16000,1497563,366000
2023-02-03,1827564,205621984,114.0,114.0,111.5,112.5,-0.5,1398,6000,14004,919702,20000,8000,7000,1213150,33000
2023-02-06,1803609,203049006,113.0,113.0,112.0,112.5,0.0,1142,18000,999,1546390,3000,12000,19000,929000,36000
2023-02-07,2235563,251906328,113.5,114.0,112.0,112.5,0.0,1456,12000,976,1542650,9000,9000,5228,1326112,2000
2023-02-08,5817761,649678897,113.5,113.5,111.0,112.5,0.0,3980,71048,281000,2842853,0,28428,4063,1553000,2000
2023-02-09,1664686,187401551,112.0,113.0,111.5,112.5,0.0,979,34000,96000,1112030,5000,2292,2388,953830,2000
2023-02-10,1286728,144118291,113.0,113.0,111.5,111.5,-1.0,819,62000,0,739000,5000,15908,34517,676000,2000
2023-02-13,2963366,332763601,112.0,113.0,111.5,113.0,1.5,1586,43890,0,2387832,13000,17462,220072,1545728,27836
2023-02-14,2231873,252874095,113.5,114.0,112.5,113.5,0.5,1325,5000,27,1211000,3000,91000,40000,771000,35000
2023-02-15,1712770,193603190,113.5,113.5,112.5,113.5,0.0,1244,17000,32000,993468,5000,16465,36141,883000,1000
2023-02-16,2091468,238578273,114.0,114.5,113.5,114.0,0.5,1390,120000,16000,1068000,0,17000,16000,656330,0
2023-02-17,2085536,238887079,114.0,115.0,114.0,114.5,0.5,1372,21000,1000,1060000,6000,12000,7258,704121,0
2023-02-20,1519501,174243630,114.5,115.5,114.0,114.5,0.0,1146,19000,0,470180,14000,14657,18091,676000,73000
2023-02-21,946411,108379736,114.5,115.0,113.5,115.0,0.5,762,71064,0,417372,13000,4033,21072,284000,0
2023-02-22,2531718,288274492,114.0,115.0,113.0,114.5,-0.5,1508,48001,0,1590780,160000,12065,32000,1239471,2000
2023-02-23,3475324,394860876,114.5,114.5,112.5,114.0,-0.5,2299,113005,100000,1433372,6000,18313,17330,1968000,23000
2023-02-24,3324339,374478741,114.0,114.5,112.0,112.0,-2.0,2031,206000,22000,1315140,0,33125,76298,2710262,3000
2023-03-01,3267793,370707238,112.0,114.5,112.0,114.0,2.0,2276,68285,20000,2760338,16000,65285,36000,1646761,8000
2023-03-02,2886753,327893785,114.5,114.5,112.5,113.5,-0.5,2015,16000,4000,1978700,28000,24960,29110,1670049,4000
2023-03-03,3460053,398122501,114.5,116.0,114.5,114.5,1.0,2287,29000,723,2360377,19000,59000,6000,1649322,50000
2023-03-06,3047083,350594847,115.0,116.0,114.5,115.0,0.5,1800,16000,226000,1260480,46000,7170,4042,1516000,9836
2023-03-07,7385759,868264103,115.5,119.0,114.5,117.5,2.5,4125,120130,98000,2231000,39000,70001,29000,2452071,24836
2023-03-08,5526920,646369133,116.5,118.5,116.0,116.5,-1.0,4002,53001,149000,1666818,29000,50125,24999,2717563,370000
2023-03-09,6194444,722366734,116.5,118.0,115.0,117.0,0.5,3379,52458,10000,1981000,22000,33000,71000,2686000,4835
2023-03-10,5767333,657764668,116.0,116.0,113.0,114.0,-3.0,3206,143000,43000,1215832,86000,58161,215186,3528000,871000
2023-03-13,4997119,572079569,114.0,115.5,113.0,115.5,1.5,2073,73187,5000,1460762,67000,57000,52000,1740954,601000
2023-03-14,16448527,1804767986,113.5,113.5,108.5,108.5,-7.0,9425,238000,110000,4022407,44000,58230,153809,11314058,800000
2023-03-15,8441436,911313250,109.0,109.5,107.0,107.5,-1.0,4429,130000,31000,2788000,29000,30727,113710,4455026,926000
2023-03-16,5392134,578566263,106.5,109.0,106.0,107.5,0.0,2817,78000,9000,2151410,35000,30462,105936,2124280,761000
2023-03-17,7962047,861870932,108.0,109.0,107.0,109.0,1.5,3173,15000,0,4992711,445091,25251,69371,4544101,804000
2023-03-20,2588564,279100020,108.5,109.0,107.5,107.5,-1.5,1765,45000,16000,784156,15000,5750,1116,1065000,900000
2023-03-21,6361147,686149425,107.5,108.5,107.0,108.0,0.5,3369,30000,40000,4446659,5000,17001,20051,1076000,900000
2023-03-22,4363824,478025445,109.0,110.0,109.0,110.0,2.0,2659,12000,6000,2653000,4380,46000,2000,1006100,1001000
2023-03-23,3937747,431417667,109.5,110.5,109.0,109.5,-0.5,2282,18000,17000,1673000,39939,7998,2603,2675193,7000
2023-03-24,5665888,624820879,110.0,111.0,109.5,110.5,1.0,2550,17000,8000,3311558,3265,73976,0,4059476,16000
2023-03-27,3370927,376673679,111.0,112.5,110.5,112.0,1.5,2248,20677,22533,2017000,501000,75060,14000,832000,412000
2023-03-28,2907294,323168226,112.5,113.0,110.0,111.0,-1.0,1755,66000,3000,1769372,12006,10887,37000,890099,1004000
2023-03-29,2501717,279853757,111.5,112.5,111.0,112.0,1.0,1495,39039,12000,2033018,2983,35500,25042,701000,0
2023-03-30,3759040,426401680,112.5,114.0,112.5,114.0,2.0,2267,25319,22000,2443991,0,110000,35000,834000,7837
2023-03-31,5550962,635132215,114.5,115.0,113.5,114.0,0.0,3535,13596,80000,2375000,503000,65000,87000,3254424,9000
2023-04-06,3089678,355345206,114.0,116.0,113.0,115.5,1.5,2396,18018,9000,2113902,1000,11514,9000,1304000,2000
2023-04-07,1960353,224295092,115.5,115.5,113.5,114.0,-1.5,1369,31000,5000,983000,1000,11007,0,894000,1000
2023-04-10,2739518,307260872,113.0,113.5,111.5,111.5,-2.5,1954,20400,150000,1117000,12,19177,32611,1225000,4000
2023-04-11,2886646,326485049,112.0,114.0,112.0,113.5,2.0,1428,12000,9000,2428509,1000,15000,10121,1583850,0
2023-04-12,1998013,226937841,113.5,114.5,113.0,113.5,0.0,1188,16000,91000,1445000,0,15061,1000,1082272,0
2023-04-13,3740076,424701517,113.5,114.5,113.0,113.0,-0.5,1746,25201,44000,2429505,1000,23000,21000,2535165,5000
2023-04-14,2987805,338668818,113.5,114.0,112.5,113.0,0.0,1500,4040,17000,1940670,0,8105,16000,1965900,1000
2023-04-17,2701379,304546187,113.0,113.5,112.0,113.0,0.0,1549,14100,11000,1108194,2000,17149,8000,1538561,4000
2023-04-18,1889830,213625047,113.0,113.5,112.5,113.5,0.5,1286,34000,17000,809000,19000,6353,0,878350,9000
2023-04-19,2985003,334672045,113.5,114.0,111.0,111.0,-2.5,1667,20600,37168,728000,58550,21910,65000,2183273,70000
2023-04-20,2160924,240414303,110.5,112.0,110.0,111.5,0.5,1526,22100,7000,1178000,15420,31437,427,1545448,32000
2023-04-21,3137520,350249626,111.0,112.5,111.0,111.0,-0.5,1858,97000,38000,947944,1352945,4137,11000,2025075,46000
2023-04-24,4080588,451282784,110.5,111.5,110.0,110.5,-0.5,2136,30000,21000,1201500,1274000,24001,20000,3652000,46000
2023-04-25,3960498,436405972,111.5,112.0,109.0,109.0,-1.5,2419,240000,12000,1163654,1264000,6024,44000,3020000,18000
2023-04-26,3963053,430762609,108.5,109.5,107.5,108.5,-0.5,2615,131001,96000,1225234,1280000,9827,5035,3276000,2000
2023-04-27,4338314,481966984,108.5,112.0,108.5,111.0,2.5,2192,34000,20000,1646351,1229000,83059,3000,2556000,0
2023-04-28,2902781,325239238,112.0,113.0,111.5,111.5,0.5,1374,23000,23000,1898412,159000,4831,5000,1972574,0
2023-05-02,3034317,338679982,111.5,112.5,110.5,112.0,0.5,2054,21000,11000,1319000,68000,15164,6005,1039630,900000
2023-05-03,1671639,188144275,112.0,113.0,112.0,112.5,0.5,995,22000,9000,1341215,12717,37000,2001,301520,0
2023-05-04,1797993,203166836,112.5,113.5,112.5,113.0,0.5,1256,18000,8000,824000,10110,6100,3000,1080507,0
2023-05-05,1188723,134444386,113.0,113.5,112.5,113.5,0.5,752,181,3000,694100,22764,5000,69,338276,0
2023-05-08,4301133,495422231,114.0,116.0,113.5,115.5,2.0,2559,40774,35000,2736363,31430,45012,34000,683380,389000
2023-05-09,3347087,384413162,114.5,115.5,114.0,115.0,-0.5,2466,25846,5000,1903000,11512,13443,33000,1588097,0
2023-05-10,2654192,302071310,115.0,115.0,113.0,114.0,-1.0,2027,18300,2000,1141000,37964,23000,4000,1877000,1000
2023-05-11,12617193,1345982423,110.0,110.0,104.0,106.0,-8.0,7064,315000,66000,4228090,15609,82854,57256,9187185,0
2023-05-12,4253166,447376884,105.5,106.0,104.0,105.0,-1.0,2498,86000,42000,1331000,19847,13870,23358,3730300,0
2023-05-15,1635935,171636609,104.5,105.5,104.0,105.0,0.0,1240,81000,51000,864372,23551,1957,73,1236512,0
2023-05-16,4740877,508501783,105.5,108.0,105.0,107.5,2.5,3206,64000,215000,3483558,9256,140411,8000,3092200,3000
2023-05-17,3094203,333724908,106.5,108.5,106.5,107.5,0.0,2179,58000,602000,1556580,12316,73725,11000,2070157,0
2023-05-18,4804356,528114844,109.0,110.5,108.5,110.0,2.5,2940,5424,689285,3745000,16021,165200,27000,2799918,2000
2023-05-19,3165287,354996618,110.0,113.0,109.5,113.0,3.0,2194,34600,390000,2028000,12314,140600,10000,1068373,0
2023-05-22,3177100,359187423,112.5,114.0,112.0,113.5,0.5,2686,10940,196000,1946000,11708,72347,8000,2122000,0
2023-05-23,4027949,451232849,113.5,113.5,111.0,112.0,-1.5,2763,19200,498000,2015617,11000,96382,0,3449071,1000
2023-05-24,2388793,269020980,111.5,113.5,111.5,113.0,1.0,1636,10510,534000,1434787,62562,43400,10000,1583108,0
