Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation,buy_Dealer_Hedging,buy_Dealer_self,buy_Foreign_Investor,buy_Investment_Trust,sell_Dealer_Hedging,sell_Dealer_self,sell_Foreign_Investor,sell_Investment_Trust
2016-01-04,4304445,31306968,7.34,7.41,7.2,7.2,-0.14,1050,10000,0,475000,0,230000,7000,741000,0
2016-01-05,3295729,23761738,7.1,7.28,7.1,7.25,0.05,1164,48000,0,1123000,0,129000,0,882000,0
2016-01-06,4134018,29772943,7.25,7.29,7.14,7.18,-0.07,1350,133000,0,1306000,0,24000,0,1496000,0
2016-01-07,7029639,49551110,7.15,7.21,6.86,6.99,-0.19,1744,60000,10000,1694000,0,588000,68000,1710000,0
2016-01-08,7367208,51913620,6.99,7.1,6.98,7.04,0.05,998,56000,10000,5032000,0,15000,0,5422000,0
2016-01-11,3548898,24789342,7.01,7.07,6.93,6.93,-0.11,1229,27000,0,498000,0,138000,0,2198000,0
2016-01-12,3133305,21840045,7.0,7.03,6.92,6.92,-0.01,1081,0,0,298000,0,187000,0,1506000,1000
2016-01-13,5120898,35954684,6.95,7.05,6.95,6.99,0.07,1285,155000,0,908000,0,10000,0,1488000,0
2016-01-14,4124030,28698218,6.94,6.99,6.9,6.98,-0.01,1158,0,0,462000,0,105000,50000,1147000,0
2016-01-15,4657093,32462545,7.05,7.05,6.9,6.9,-0.08,1099,8000,0,364000,0,155000,6000,1780900,2000
2016-01-18,4816345,33210659,6.86,6.97,6.83,6.96,0.06,1289,193000,1000,577000,0,0,0,1163000,0
2016-01-19,5471173,38200716,6.92,7.02,6.91,7.01,0.05,1412,7000,10000,558000,0,179000,0,1881000,0
2016-01-20,4142707,28814076,7.0,7.04,6.89,6.89,-0.12,1151,7000,0,588000,0,257000,35000,814000,2000
2016-01-21,3689483,25602197,6.92,6.98,6.89,6.93,0.04,1141,0,0,758900,0,83000,40000,1419000,0
2016-01-22,3252444,22683127,7.0,7.01,6.93,6.95,0.02,1011,0,0,783000,0,23000,3000,1447000,0
2016-01-25,4117505,29018921,7.0,7.1,6.99,7.08,0.13,1252,37000,0,1482000,0,0,0,471000,0
2016-01-26,3579285,25206189,7.04,7.08,7.0,7.07,-0.01,839,0,19000,797000,0,70000,0,436000,0
2016-01-27,3042643,21560907,7.09,7.12,7.05,7.05,-0.02,1020,11000,0,490300,0,20000,2000,964000,0
2016-01-28,3684888,26068532,7.04,7.12,7.02,7.07,0.02,1266,242000,0,802000,0,12000,0,1488000,0
2016-01-29,4612395,32881744,7.07,7.16,7.07,7.12,0.05,1083,229000,0,1045000,0,32000,18000,785000,0
2016-01-30,2947732,21250858,7.16,7.24,7.16,7.23,0.11,694,246000,3000,0,2000,76000,0,35000,0
2016-02-01,4018809,28999346,7.25,7.28,7.17,7.22,-0.01,1335,15000,63000,1471000,0,100000,22000,1871000,0
2016-02-02,3731879,27005433,7.23,7.27,7.21,7.21,-0.01,1061,9000,0,1573000,0,115925,0,595000,0
2016-02-03,4104323,29643138,7.19,7.25,7.19,7.24,0.03,1201,15000,0,1200200,0,32000,0,827440,0
2016-02-15,3216462,23378383,7.19,7.32,7.17,7.28,0.04,1103,131000,0,834000,1203,50000,0,675000,0
2016-02-16,8932402,67165648,7.32,7.62,7.31,7.57,0.29,2122,808000,33000,2455000,0,5000,13000,338000,0
2016-02-17,4652466,35232564,7.65,7.65,7.52,7.54,-0.03,1342,17000,0,801000,0,328000,17000,828000,0
2016-02-18,14634031,113014148,7.58,7.84,7.56,7.8,0.26,2658,511000,0,6891000,0,104000,5000,1162000,0
2016-02-19,13288829,104497198,7.8,7.96,7.71,7.95,0.15,2536,109000,61000,7901000,0,299000,0,1674881,1000
2016-02-22,17162654,138449384,7.95,8.12,7.93,8.09,0.14,3160,1054000,0,6040000,0,423000,11000,2105000,0
2016-02-23,14337009,116822592,8.14,8.26,8.06,8.12,0.03,2463,1733000,123000,893300,0,763000,0,1198000,0
2016-02-24,11847367,96952488,8.15,8.25,8.13,8.18,0.06,2645,39000,162000,1942000,0,540000,0,1197000,0
2016-02-25,6135250,50092562,8.18,8.19,8.14,8.18,0.0,1347,0,183000,1604000,0,3000,0,271000,0
2016-02-26,7101913,58397523,8.28,8.28,8.17,8.23,0.05,1492,136000,0,2126900,0,64000,56000,919000,0
2016-03-01,30691012,261581437,8.31,8.66,8.3,8.6,0.37,5619,993000,2000,9902000,0,926000,50000,6306000,0
2016-03-02,15776091,137426887,8.69,8.78,8.62,8.65,0.05,2872,334000,1000,7533000,0,488000,0,1494000,4000
2016-03-03,26938679,234606011,8.77,8.91,8.53,8.54,-0.11,5096,1783000,176000,3298000,0,491000,245000,3618000,0
2016-03-04,14414503,125231775,8.54,8.8,8.54,8.76,0.22,2767,996000,63000,7336000,0,1094000,0,1457000,0
2016-03-07,19023970,169878301,8.82,9.09,8.8,8.88,0.12,3635,679000,473000,1884000,0,621000,2000,2594000,0
2016-03-08,15669095,139581689,8.9,9.07,8.73,9.01,0.13,3478,1133000,172000,6912000,0,757000,0,1698000,1000
2016-03-09,13409014,118140532,8.91,8.94,8.69,8.73,-0.28,2910,382000,133000,3663000,0,1353000,0,4070000,0
2016-03-10,11571573,102728617,8.73,8.95,8.73,8.94,0.21,2576,461000,0,5302000,0,823000,0,672000,0
2016-03-11,13491428,120553805,8.94,8.99,8.87,8.95,0.01,2070,236000,5000,8683000,0,179000,0,6918000,0
2016-03-14,6939426,61772509,8.99,9.0,8.85,8.9,-0.05,1735,128000,0,1114000,0,144000,0,2097000,0
2016-03-15,8249139,72563103,8.9,8.92,8.66,8.66,-0.24,2269,201000,21000,2631000,0,499000,0,952000,0
2016-03-16,17939697,161228480,8.71,9.11,8.7,9.07,0.41,3456,1850000,224000,10523000,0,605000,31000,908000,0
2016-03-17,10518862,94330916,9.16,9.16,8.84,8.91,-0.16,2480,309000,120000,2753000,0,1643000,215000,2710000,0
2016-03-18,9220200,82840248,8.91,8.94,8.77,8.77,-0.14,1514,517000,81000,1924000,0,348000,6000,5144000,1000
2016-03-21,5571220,49536180,8.79,9.0,8.79,8.9,0.13,1420,675000,6000,2132000,0,537000,0,763000,0
2016-03-22,9169810,81530555,8.93,8.94,8.81,8.89,-0.01,2139,394000,0,6078300,0,458000,31000,4905000,0
2016-03-23,4317053,38211041,8.88,8.9,8.82,8.84,-0.05,1301,264000,0,2022000,0,504000,123000,1033682,0
2016-03-24,7982475,69570215,8.82,8.84,8.66,8.68,-0.16,1544,276000,88000,4775000,0,410000,122000,3529000,0
2016-03-25,4013131,34726749,8.72,8.73,8.6,8.63,-0.05,1206,259000,0,1527000,0,519000,24000,516000,0
2016-03-28,5366656,45505582,8.63,8.63,8.37,8.37,-0.26,1346,159000,45000,509000,0,361000,112000,420000,0
2016-03-29,4737002,39726295,8.37,8.48,8.31,8.45,0.08,1620,93000,0,3074000,0,367000,0,890000,0
2016-03-30,5645603,48319890,8.45,8.7,8.4,8.67,0.22,1748,192000,10000,2967000,0,178000,0,1161000,0
2016-03-31,3634875,31289135,8.67,8.7,8.54,8.54,-0.13,1147,200000,14000,1402000,0,55000,15000,1190000,0
