Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation,buy_Dealer_Hedging,buy_Dealer_self,buy_Foreign_Investor,buy_Investment_Trust,sell_Dealer_Hedging,sell_Dealer_self,sell_Foreign_Investor,sell_Investment_Trust
2023-01-03,3021538,132698708,44.0,44.4,43.4,44.25,0.2,1656,47863,157000,933000,336000,46913,169000,1605246,183000
2023-01-04,5388189,241254945,44.35,45.0,44.25,44.95,0.7,2951,48000,27000,4180200,13000,2000,280000,1944000,0
2023-01-05,4605341,208534155,45.1,45.5,44.95,45.5,0.55,2739,88000,37000,3342083,4000,1000,527000,1590231,0
2023-01-06,2760207,125244489,45.5,45.6,45.15,45.25,-0.25,2323,99480,31000,1698748,42000,0,158000,1584651,0
2023-01-09,5880713,270436098,45.75,46.25,45.6,46.25,1.0,3404,262472,42,4744000,493000,1000,305000,1637096,4391
2023-01-10,3188410,146801307,46.1,46.25,45.8,46.15,-0.1,2070,17668,21,2635906,5000,55000,0,2239074,26000
2023-01-11,3389392,156800470,46.2,46.4,46.05,46.25,0.1,1965,109000,133004,2498048,11000,0,31000,2040914,0
2023-01-12,2525093,117124001,46.25,46.5,46.2,46.4,0.15,1660,24000,198,2111030,2000,0,84000,1315557,0
2023-01-13,1891053,87785635,46.5,46.7,46.2,46.35,-0.05,1917,22121,0,1430657,6000,1000,104000,791236,5000
2023-01-16,2964006,138588875,46.5,46.95,46.35,46.8,0.45,1885,18000,51712,2330313,0,0,67000,1102000,0
2023-01-17,4567781,214830222,46.8,47.1,46.7,47.1,0.3,2526,19000,24687,3820709,0,0,11000,1554697,662487
2023-01-30,11762183,561608288,47.5,48.15,47.05,47.95,0.85,6041,159330,80000,10619338,65000,2000,30000,7142307,4347
2023-01-31,6899790,324590383,47.85,47.9,46.6,46.6,-1.35,3177,2000,94430,5446356,4000,256000,5572,5892134,0
2023-02-01,3953573,185633408,47.0,47.3,46.55,47.1,0.5,2009,0,26250,2809739,340000,12000,3034,3095731,2000
2023-02-02,4010463,187445011,47.3,47.3,46.55,46.75,-0.35,1792,90000,84000,1939407,724000,94591,46483,2786586,0
2023-02-03,2391916,112296285,46.6,47.2,46.5,47.2,0.45,1483,0,33030,1410922,344000,10000,13201,984000,0
2023-02-06,3143952,147104743,46.7,47.1,46.6,46.6,-0.6,1421,360000,54000,1331277,912000,369097,1296,2076000,0
2023-02-07,2318636,108590730,46.9,47.0,46.65,46.8,0.2,1376,4000,0,1474330,614000,13375,27000,1739430,133274
2023-02-08,1439999,67379682,46.95,46.95,46.6,46.85,0.05,798,7000,1000,624000,128000,4000,28918,881000,153000
2023-02-09,1856478,87061164,46.5,47.0,46.5,46.95,0.1,896,99000,0,838000,525000,94409,32135,898000,0
2023-02-10,3325987,156386192,46.7,47.2,46.65,47.05,0.1,1266,295000,0,1649231,659000,288000,120000,1441000,0
2023-02-13,3861845,181215796,46.8,47.15,46.5,47.15,0.1,1601,217000,0,1946000,725000,196057,98163,2756000,4486
2023-02-14,2208681,104495662,47.3,47.5,47.2,47.3,0.15,1020,12089,0,1527724,0,0,119000,1083525,0
2023-02-15,2899591,136202092,47.2,47.3,46.7,46.8,-0.5,1530,48000,69000,1576083,20856,47237,5665,2369842,0
