Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation,buy_Dealer_Hedging,buy_Dealer_self,buy_Foreign_Investor,buy_Investment_Trust,sell_Dealer_Hedging,sell_Dealer_self,sell_Foreign_Investor,sell_Investment_Trust
2023-01-03,31622801,483330386,15.0,15.45,15.0,15.45,0.45,7071,2482952,930000,13606057,1294000,1000,144000,12723860,0
2023-01-04,42499265,669312475,15.4,15.95,15.4,15.7,0.25,9499,2543877,964165,24030146,811000,267000,212000,12664600,0
2023-01-05,28140611,440231723,15.85,15.9,15.5,15.55,-0.15,9711,173000,80000,7898059,0,1588000,749764,16543411,0
2023-01-06,75069769,1193951171,15.65,16.05,15.6,15.95,0.4,13129,1580000,1310485,53199791,209000,96720,80000,40824160,0
2023-01-09,35711628,571017336,16.05,16.1,15.85,16.05,0.1,7284,240622,309485,16453000,3000,1582000,331000,15176469,0
2023-01-10,25778839,411187624,16.0,16.05,15.8,16.0,-0.05,6411,1092000,36813,13072300,80000,445000,833769,10952200,13047
2023-01-11,29433593,473860779,16.1,16.25,15.95,16.1,0.1,6278,994998,502180,18955865,0,245000,651000,10623000,0
2023-01-12,17637350,282466460,16.15,16.2,15.9,15.95,-0.15,5532,326000,1000,6457573,3000,334000,449000,9699978,0
2023-01-13,19600695,312440784,16.05,16.05,15.8,15.9,-0.05,4954,542000,301726,5953618,2903000,375000,447070,8510200,108000
2023-01-16,14041394,223879299,15.95,16.05,15.85,15.9,0.0,3777,102000,32000,6258800,1533000,205000,94000,7126000,8000
2023-01-17,21000171,333343109,15.95,16.0,15.8,15.85,-0.05,4940,222000,208000,8431194,4268000,332999,166000,14589558,71000
2023-01-30,81861978,1351511495,16.2,16.65,16.1,16.65,0.8,25392,3153920,9760000,48010541,5312000,916000,271000,21581392,51355
2023-01-31,55184304,924855654,16.5,16.95,16.4,16.75,0.1,13143,2253417,394000,37223682,3702000,1372309,329000,23477750,6000
2023-02-01,36369661,602329121,16.75,16.8,16.35,16.65,-0.1,10101,279000,100000,17343085,170000,1993000,649000,18998919,200000
2023-02-02,24915605,418318564,16.7,16.85,16.6,16.8,0.15,9066,456000,260167,13668389,8000,318000,518000,6272546,3348
2023-02-03,25595656,424734731,16.85,16.85,16.5,16.5,-0.3,8927,10000,5201,7222288,0,832000,482000,16203544,14000
2023-02-06,19160886,317273915,16.45,16.7,16.45,16.5,0.0,5325,423000,110000,10691493,2000,140000,404000,10572800,18000
2023-02-07,58502292,989817386,16.65,17.1,16.65,17.0,0.5,14692,1296181,1839172,38464540,0,90564,253000,22070599,0
2023-02-08,112562833,1977349221,17.1,17.9,16.9,17.7,0.7,26456,4424502,3600999,49719726,300000,356000,396000,19988600,18000
2023-02-09,67980943,1192860796,17.35,17.85,17.1,17.65,-0.05,16607,218736,1177999,31347691,3543000,1853000,873000,17584000,1268000
2023-02-10,55683620,964108033,17.6,17.65,17.15,17.15,-0.5,15110,277000,157000,23166546,400000,3110000,1720000,24587000,117000
2023-02-13,57844947,965870880,17.1,17.25,16.5,16.55,-0.6,22241,459000,111000,12171100,400000,862577,2243960,36259999,17000
2023-02-14,55227544,941201075,16.75,17.25,16.7,17.15,0.6,13180,2264258,750000,34782805,1742000,118000,250000,11847319,0
2023-02-15,57644731,998965050,17.0,17.6,16.9,17.25,0.1,15391,1269338,2132999,28999856,1065000,1405644,560510,25371949,26000
2023-02-16,80995009,1442444208,17.5,18.0,17.4,17.95,0.7,23829,2833635,1741222,40938200,3267000,339403,3829000,17206000,0
2023-02-17,78446062,1420716918,17.8,18.35,17.7,18.2,0.25,19885,916275,1376998,41679522,2568000,1438111,196000,20798114,13356
2023-02-20,118317474,2212111202,18.5,18.95,18.2,18.85,0.65,32562,1708927,639068,41327646,3454000,688013,1411000,40862600,1000
2023-02-21,55262439,1030213555,18.6,18.9,18.45,18.6,-0.25,15877,1280538,1504999,17424702,1022000,568000,1565999,15725200,0
2023-02-22,54477818,1013496545,18.4,18.75,18.35,18.75,0.15,12701,989969,382999,28172142,0,1062000,2854000,18930800,1000000
2023-02-23,74074175,1358678288,18.7,18.75,18.15,18.3,-0.45,20250,1102000,1020000,20982661,1333000,346489,651000,49480200,470000
2023-02-24,87641154,1632293242,18.15,18.8,18.15,18.6,0.3,16209,2269668,312999,59948939,0,208000,707000,31578902,657000
2023-03-01,64476347,1200699577,18.7,18.95,18.4,18.65,0.05,13513,377999,854000,36573602,0,597561,1318000,42003358,2089000
2023-03-02,53896197,988291418,18.55,18.65,18.15,18.25,-0.4,14180,203000,492000,23279885,265000,244000,511000,29390238,2381343
2023-03-03,96364286,1814429215,18.55,19.2,18.45,18.95,0.7,23225,2697416,2441998,50710000,1032000,198000,575000,26633800,1272000
2023-03-06,63231333,1214737178,19.05,19.4,19.0,19.25,0.3,16888,848061,2692809,25728145,934000,1137714,1036000,29546500,8000
2023-03-07,49622003,941277722,19.05,19.15,18.65,19.15,-0.1,15649,566704,1720000,14330252,311000,1590109,1734000,23973886,1025000
2023-03-08,31619453,603230332,18.95,19.25,18.8,19.25,0.1,9211,826990,1337000,11667900,96000,253674,743000,10935049,2814000
2023-03-09,50988284,956699344,19.35,19.35,18.5,18.5,-0.75,21837,447000,506000,5253944,4000,539832,541000,25295000,3474000
2023-03-10,51895373,944054182,18.3,18.45,18.0,18.15,-0.35,12844,806000,304000,18653601,106000,503599,1075999,19533696,469000
2023-03-13,29999609,542997608,18.05,18.3,17.85,18.25,0.1,8341,1312969,736000,13490043,26000,169780,440000,12561599,75330
