Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation,buy_Dealer_Hedging,buy_Dealer_self,buy_Foreign_Investor,buy_Investment_Trust,sell_Dealer_Hedging,sell_Dealer_self,sell_Foreign_Investor,sell_Investment_Trust
2023-01-03,11471114,1391074626,119.5,122.5,119.0,122.0,2.0,6905,195500,265000,4620219,7000,61943,46000,2863839,1260000
2023-01-04,23101170,2758350882,121.5,122.5,118.0,120.0,-2.0,15416,197000,97000,4428526,28000,326443,315000,5984336,3412365
2023-01-05,24089852,2875686036,120.5,122.0,117.5,119.0,-1.0,14369,113000,177000,7885071,1000,72179,679000,4123347,1485000
2023-01-06,26640579,3247265223,119.0,124.0,118.5,123.0,4.0,15482,686000,712000,11769532,74000,152000,61000,6923265,260000
2023-01-09,31998441,4034205831,125.0,127.5,124.0,127.5,4.5,18434,463704,314000,11365324,30000,253491,27959,8694619,0
2023-01-10,16631624,2097972406,126.0,127.0,125.0,126.5,-1.0,9883,48499,21000,5769738,111000,280000,54000,6169679,477444
2023-01-11,13343594,1700714296,127.0,128.5,126.0,128.0,1.5,8501,208000,69000,6155042,29000,131000,30000,3795437,0
2023-01-12,17048328,2156185382,128.5,129.0,125.0,125.0,-3.0,10135,54000,51000,5112093,241905,140254,21212,8285824,0
2023-01-13,29226567,3728307867,127.0,130.0,125.5,126.0,1.0,17375,212630,271000,12168732,4000,56530,191788,9753499,1000
2023-01-16,26225351,3384549078,126.0,131.0,126.0,128.0,2.0,16285,86988,263000,10509183,2000,101611,101000,6734247,127386
2023-01-17,18085899,2296831167,128.0,128.5,126.0,127.0,-1.0,12096,14000,67000,4014234,33000,49862,28000,9382315,2491309
2023-01-30,43181475,5754737832,131.0,136.0,129.0,136.0,9.0,24724,471053,261000,24354965,1151000,57000,146000,13017005,480944
2023-01-31,24953006,3402241730,135.5,138.0,135.0,136.5,0.5,14451,238121,32000,11568799,29000,236000,41000,10962126,8486
2023-02-01,35751997,5032400874,139.0,142.5,138.0,141.5,5.0,20883,424583,142000,15881679,534000,174402,7000,9575895,22394
2023-02-02,40037391,5720570224,144.0,145.0,140.5,143.5,2.0,20189,212311,203000,15945749,587000,360000,307200,15149175,548961
2023-02-03,32488040,4537502077,143.0,143.0,136.5,137.0,-6.5,21030,51000,38000,5672948,1228000,196200,193466,11741407,73557
2023-02-06,32183965,4196921692,132.5,133.0,129.0,129.0,-8.0,22482,164000,562000,6412533,2190,351539,167600,16142353,76000
2023-02-07,21779279,2830720283,128.5,131.5,128.5,130.0,1.0,12706,102000,140000,7048940,1000,124769,166000,11169962,2296695
2023-02-08,18094327,2370946655,131.5,132.0,130.0,131.5,1.5,11829,68000,126580,6134791,111000,131819,178000,7066541,2186000
2023-02-09,16136503,2131653609,130.5,133.0,130.0,132.5,1.0,9404,198084,219242,6963329,0,42253,414000,2684197,3337694
2023-02-10,17324690,2255123470,132.0,132.5,129.0,129.0,-3.5,11399,55000,38000,2381950,1274605,212853,210000,7616002,904000
2023-02-13,9258396,1193389097,129.0,130.5,128.0,128.5,-0.5,6524,64000,1808,2862900,50000,63058,94110,2898406,1335000
2023-02-14,15927555,2095339825,130.5,133.0,130.0,131.5,3.0,9944,189370,53365,5671426,910000,145000,280000,5288925,3694
2023-02-15,28379119,3814977172,131.0,137.5,130.5,137.5,6.0,18268,676992,167000,14354011,97000,167148,6000,5524432,1003000
2023-02-16,34635533,4785113570,139.5,140.5,135.5,138.5,1.0,21627,97000,290000,9321397,62000,334956,263000,15256821,0
2023-02-17,19483745,2654980784,136.5,138.0,135.0,136.0,-2.5,11572,88000,144000,6020000,231000,68505,16567,9866224,31967
2023-02-20,11724345,1606472445,137.0,138.5,136.0,136.5,0.5,7882,111000,223999,2104036,6000,116953,51869,5119669,145000
2023-02-21,14877279,2035759673,137.0,138.5,135.0,137.5,1.0,9987,174376,860000,3398222,3000,30195,161379,5270900,1112000
2023-02-22,27076853,3636705253,135.0,136.0,133.5,133.5,-4.0,18518,135000,121000,2572247,4000,213949,281191,14715463,44692
2023-02-23,25471038,3413583017,133.0,135.5,133.0,134.0,0.5,15533,231948,378000,6087722,9000,108328,156770,11134695,84000
2023-02-24,50247832,6500861610,133.0,133.5,128.0,128.0,-6.0,36348,314000,609000,8521306,4009,420445,297991,25885352,436965
2023-03-01,32915316,4243973647,126.0,131.5,124.0,131.5,3.5,17543,285236,201000,19217830,66000,115450,117155,14869063,222000
2023-03-02,26518986,3482590307,130.0,135.0,129.0,134.0,2.5,14809,154424,743000,13063548,681000,123109,417000,9813328,8273
2023-03-03,43647690,5986220068,136.0,139.5,135.5,136.5,2.5,28446,194860,942999,15826893,751000,179000,337000,12210575,10000
2023-03-06,22111957,3057993789,139.0,139.5,137.0,138.5,2.0,13640,96339,302000,11206599,138000,118000,79000,3309200,10000
2023-03-07,17618847,2398856116,138.0,138.0,135.0,136.5,-2.0,12290,61437,107000,2578437,56000,101697,167082,8926827,145000
2023-03-08,20125450,2755622061,135.0,138.5,134.0,137.0,0.5,11009,264160,554000,7525089,130000,17400,132000,7412615,20000
2023-03-09,20469765,2801354716,138.5,138.5,135.5,136.0,-1.0,11827,42000,65000,5993980,613000,203000,524071,6710800,101000
2023-03-10,20235055,2691261061,134.0,135.5,131.0,131.5,-4.5,14860,79000,84000,4648030,18000,152887,562240,7560510,3000
2023-03-13,17671130,2325179788,130.0,134.0,129.0,133.5,2.0,10615,226941,564000,7416066,1058000,83500,409390,3407528,84272
2023-03-14,14530118,1906254042,131.0,133.0,130.0,130.5,-3.0,9393,108000,4000,4189110,8000,235454,299606,7437208,43000
2023-03-15,9348109,1234072325,132.5,133.0,131.0,131.0,0.5,6753,30000,11000,2999928,12000,75399,204000,3925093,114000
2023-03-16,11662400,1519962094,130.5,132.0,129.0,129.5,-1.5,8473,77499,162389,3213921,7000,57200,44269,5473195,158000
2023-03-17,15386124,2042705388,131.5,134.0,131.0,134.0,4.5,7407,185000,289000,8798593,390000,40500,260000,5239350,105000
2023-03-20,14501789,1958924043,134.5,136.0,133.5,135.5,1.5,9538,415145,571000,4844388,3163000,89500,191000,3829390,0
2023-03-21,30443954,4207855696,137.0,139.5,136.0,138.5,3.0,18932,458667,1757000,11788096,1574000,123500,111000,7139714,0
2023-03-22,32564239,4601035359,141.0,143.0,139.5,140.0,1.5,21813,315968,534000,8277237,453000,178000,665000,6810780,0
2023-03-23,42478671,6093359142,140.0,146.0,139.0,146.0,6.0,27711,365124,721001,15746747,2644000,207300,281000,3932914,19000
2023-03-24,56380224,8389428830,149.0,151.0,146.5,148.0,2.0,35424,326674,700000,18007472,3551000,479971,951360,14855177,25111
2023-03-27,27097680,3962696373,149.0,149.5,144.0,145.5,-2.5,18964,127750,239000,9414056,2971000,213730,241000,11749295,20000
2023-03-28,43994366,6182402835,145.0,145.5,138.0,138.5,-7.0,27726,103500,163000,11937141,1256000,282520,769000,16416379,9695
2023-03-29,16463572,2313788328,139.5,142.0,139.5,140.5,2.0,11534,180000,103000,7649048,1308000,28747,320000,4744271,1695
2023-03-30,44885160,6586182160,143.5,148.5,143.0,147.5,7.0,28961,346347,721000,19925206,356000,164000,219000,5015301,11449
2023-03-31,34816965,5178281557,149.0,151.0,147.0,147.5,0.0,20792,95444,225000,9608280,1715000,256688,245000,8770803,15695
2023-04-06,20838541,2994073860,145.5,146.0,142.0,144.0,-3.5,14480,73000,275000,5462959,112000,98164,152000,8874099,0
2023-04-07,10989646,1591612979,145.0,146.0,144.0,144.5,0.5,7255,66000,74000,2176200,49000,24157,158000,2694000,1000
2023-04-10,7736579,1116921909,144.5,145.5,143.0,144.5,0.0,5564,58500,3000,2206500,4027,82481,285000,1520247,7694
2023-04-11,11189512,1615637248,145.0,146.0,143.0,143.0,-1.5,7931,131486,170000,2868338,11000,38301,107000,4092710,0
2023-04-12,13408173,1904664601,144.0,144.0,141.0,142.0,-1.0,9632,55000,111000,2064547,5000,80500,181235,3286090,263
2023-04-13,18223957,2552089208,141.0,142.5,139.0,139.5,-2.5,13446,45000,71000,4130751,20000,102836,500010,5435225,4000
2023-04-14,11189595,1559981636,141.0,141.0,138.5,139.0,-0.5,8538,40000,36000,1642282,7000,76494,71000,4228643,986000
2023-04-17,11789493,1636549086,139.0,140.0,137.0,139.0,0.0,8747,204000,106323,3032851,24000,72707,217001,5731859,480000
2023-04-18,15503960,2131932943,139.5,140.0,136.0,136.5,-2.5,12362,79000,35000,1437165,13000,115385,9000,8185541,524000
2023-04-19,22654980,3036218043,136.0,136.5,132.0,132.5,-4.0,18351,149000,72699,3028038,25000,198500,221108,11428187,859000
2023-04-20,21483855,2906363106,131.5,137.5,131.5,135.5,3.0,13647,254831,235297,9188139,19000,88936,68844,7853860,15000
2023-04-21,22921703,3143725411,136.0,139.0,135.5,136.5,1.0,15044,125183,137377,6750302,457000,125691,155377,8076922,38000
2023-04-24,17762119,2456559177,136.0,139.5,135.5,139.5,3.0,11283,156000,189000,6114375,4474000,97000,43000,6074196,3692
2023-04-25,26407417,3629862518,140.5,141.5,135.0,135.0,-4.5,16023,218500,325000,6759108,3766000,229974,462815,10748951,4000
2023-04-26,37295764,5149974064,133.5,140.5,133.5,139.0,4.0,22001,345545,482000,18994885,2178000,172000,607048,11744222,0
2023-04-27,21899467,2991675545,137.5,138.5,135.0,136.5,-2.5,13434,78000,44000,5269648,330000,499152,92018,13218280,0
2023-04-28,60170857,8655997941,140.5,146.0,140.0,145.0,8.5,34898,623032,788191,37473801,2027000,137000,79000,7962617,0
